Month	MinTemp	MaxTemp	MeanTemp	MeanWindSpeed	MeanPressure	sitename
2009_1	-10.9	4.9	-2.9	6.7	977	Henry
2009_2	-20.9	2.9	-11.5	10.1	981.7	Henry
2009_3	-31.1	-10.1	-20.1	14.8	978.3	Henry
2009_4	-31.6	-8.9	-23	10.2	980.2	Henry
2009_5	-35.1	-13.8	-24.9		986.3	Henry
2009_6	-36.5	-10.6	-24.6		987.1	Henry
2009_7	-35.2	1.4	-23.1		986.7	Henry
2009_8	-37.2	-16.8	-25.2		984.3	Henry
2009_9	-36.5	-11	-25.3		979.6	Henry
2009_10	-35.9	-11.8	-21.6		973.5	Henry
2009_11	-20.9	0.8	-9.3		980.2	Henry
2009_12	-10	4.1	-3.3		978.5	Henry
2010_1	-11.2	5.5	-3.5		991.1	Henry
2010_2	-20	-0.9	-10.5		986.4	Henry
2010_3	-31	-5.2	-17.6		981.1	Henry
2010_4	-33	-15.8	-24.4		978	Henry
2010_5	-38.4	-17.9	-26.9		978.9	Henry
2010_6	-36.2	-18.8	-28.7		974.2	Henry
2010_7	-38.6	-18.9	-29.6		966.2	Henry
2010_8	-38.2	-15	-26.9		969.6	Henry
2010_9	-36.1	-18.2	-27.3		976.9	Henry
2010_10	-31.4	-6.2	-19.2		972	Henry
2010_11	-18.4	1.4	-9.5		971	Henry
2010_12	-11.1	7.9	-1.9		984.8	Henry
2011_1	-9.1	4.6	-3.1		986.4	Henry
2011_2	-17.6	-0.2	-9.3		980.8	Henry
2011_3	-28.8	-8.4	-19.2		985.9	Henry
2011_4	-37	-5	-22.5		984.9	Henry
2011_5	-38.6	-10	-25.4		975.4	Henry
2011_6	-35.6	-12.1	-24.3		983.3	Henry
2011_7	-35.4	-10.2	-23.5		981.3	Henry
2011_8	-37.8	-7.6	-22.5		983.7	Henry
2011_9	-35.8	-11.1	-22.6		985.3	Henry
2011_10						Henry
2011_11						Henry
2011_12						Henry
2012_1						Henry
2012_2	-20.1	1.3	-10.2	15.3	982.6	Henry
2012_3	-26.6	-8.6	-18.9	16.8	979.1	Henry
2012_4	-33.1	-14.2	-25	19.1	977.9	Henry
2012_5			-21.6	18.5	975.4	Henry
2012_6	-38.2	-8.6	-23.6	18.6	987.1	Henry
2012_7	-35.7	-16.6	-27.8	18.2	975.6	Henry
2012_8	-31.9	-12.4	-23.3	17.8	978.3	Henry
2012_9	-35.2	-17	-24.6	16.8	975.8	Henry
2012_10	-26.1	-11.6	-19	13.3	974.7	Henry
2012_11	-19	-1.3	-9.3	8.3	983.9	Henry
2012_12	-8.5	6.2	-1.7	3.9	983.9	Henry
2013_1	-10.5	3.7	-2.8	7.4	981.4	Henry
2013_2	-22.8	-1	-11.9	13.3	973.7	Henry
2013_3	-32.1	-8.3	-18.8	18.3	972	Henry
2013_4	-35	-13.2	-25.4	17.8	979.6	Henry
2013_5	-34.5	-13.2	-23.4	17.2	979.6	Henry
2013_6	-39.6	-13.7	-24.5	15.9	990.5	Henry
2013_7	-37	-16.6	-29.1	17.1	976	Henry
2013_8	-35.8	-12.1	-25.8	16.3	986.8	Henry
2013_9	-32.5	-10.1	-22	17.7	985.9	Henry
2013_10	-27.7	-10.3	-18.4	11.8	978.2	Henry
2013_11	-21.2	1.6	-8.8	7.8	976	Henry
2013_12	-7.7	3.8	-1.2	9.5	979.9	Henry
2014_1	-10.5	7.3	-1.3	8	983.9	Henry
2014_2	-20.5	-0.9	-10.6	17.3	978.2	Henry
2014_3	-29.3	-10.9	-20.1	20.7	976.8	Henry
2014_4	-34.7	-9.4	-22.9	24.4	974.5	Henry
2014_5	-32.9	-9.4	-21	17.2	978.7	Henry
2014_6	-34.8	-16.1	-26.1	18.9	976.8	Henry
2014_7	-36.3	-11.1	-27.9	20.1	977.8	Henry
2014_8	-34.8	-8.8	-23.6	18	969.3	Henry
2014_9	-30.5	-9.8	-22.1	20	979	Henry
2014_10	-30.6	-5.4	-16.9	14.8	967.5	Henry
2014_11	-17.5	-2.2	-9.3	10	979.6	Henry
2014_12	-10.8	3.6	-3.2	7.9	977.2	Henry
2015_1	-10.2	3.9	-3.2	7.5	979.6	Henry
2015_2	-19	-2.2	-8.8	13.3	972.8	Henry
2015_3	-27.4	-8	-18.2	18.9	976.8	Henry
2015_4	-33.8	-13.2	-24.9	18	975.2	Henry
2015_5	-32.6	-14.9	-25.2	18.5	979.8	Henry
2015_6	-33.4	-13.1	-25.8	18.2	980	Henry
2015_7	-36.8	-11.1	-27.3	19.8	970.5	Henry
2015_8	-39.6	-14.5	-26.1	19.2	971.8	Henry
2015_9	-36.3	-6.6	-26.5	17.9	970.5	Henry
2015_10	-26.6	-11	-17.2	12.2	973.6	Henry
2015_11	-23.2	-0.5	-10.2	11.7	971.5	Henry
2015_12	-8.5	4.5	-2.1	8.9	980.4	Henry
2016_1	-9.2	4.3	-2.4	6.3	974.3	Henry
2016_2	-18.4	0.2	-10.3	15.3	976	Henry
2016_3	-27.7	-10.7	-19.7	20.9	973	Henry
2016_4	-34.3	-14.7	-26.1	18.6	979.5	Henry
2016_5	-32.9	-10.1	-22.7	20.4	978.2	Henry
2016_6	-36.4	-11	-27.3	19.1	972.3	Henry
2016_7	-35.2	-16.8	-26.7	16.4	982.3	Henry
2016_8	-32.2	-7.6	-24.5	16.9	983.7	Henry
2016_9	-34.3	-14.9	-24.7	19.7	966.7	Henry
2016_10	-28.5	-10.6	-19.8	17.2	973.8	Henry
2016_11	-16.2	1.2	-7.1	13.9	985.8	Henry
2016_12	-8.6	2.8	-2.3	7.1	983.3	Henry
