gid,sitename,mapcode,latitude,longitude,Website
633,Byrd,UW,-80.011,-119.438,https://amrc.ssec.wisc.edu/
607,Henry,UW,-89.001,-0.391,https://amrc.ssec.wisc.edu/
475,Cape Poinsett,Australia,-65.867,113.066944,http://www.antarctica.gov.au/
477,Casey Skiway,Australia,-66.2861,110.7633,http://www.antarctica.gov.au/
501,Haupt Nunataks,Australia,-66.5819,110.693889,http://www.antarctica.gov.au/
506,Law Dome-A,Australia,-66.853279,112.744444,http://www.antarctica.gov.au/
507,Law Dome Summit,Australia,-66.7296,112.8348,http://www.antarctica.gov.au/
519,Mount Brown,Australia,-69.1313,85.9992,http://www.antarctica.gov.au/
531,Snyder Rocks,Australia,-66.55,107.75,http://www.antarctica.gov.au/
539,Whoop Whoop,Australia,-68.4692,78.8342,http://www.antarctica.gov.au/
540,Wilkins Runway - East ICAO,Australia,-66.6831,111.5317,http://www.antarctica.gov.au/
541,Wilkins Runway - West 4m,Australia,-66.6931,111.5039,http://www.antarctica.gov.au/
649,Princess Elizabeth Station,Belgium/Netherlands,-71.95,23.33333,https://www.projects.science.uu.nl/iceclimate/aws/antarctica.php
536,Utsteinen,Belgium/Netherlands,-71.95,23.35,https://www.projects.science.uu.nl/iceclimate/aws/antarctica.php
470,Bisco Islands,Brazil,-66.133,-66,http://antartica.cptec.inpe.br/
504,Joinville Is,Brazil,-63.183,-55.4,http://antartica.cptec.inpe.br/
578,China,China,-74.916667,163.7,http://www.chinare.gov.cn/en/
487,Dome A,China/Australia,-80.3675,77.3738,http://www.chinare.gov.cn/en/
490,Eagle,China/Australia,-76.418,77.03,http://www.chinare.gov.cn/en/
522,PANDA-North,China/Australia,-73.683333,76.966667,http://www.chinare.gov.cn/en/
534,Thiel Mountains,Commercial,-82.25,-87.883333,
535,Union Glacier,Commercial,-79.766666,-83.266666,
570,Camp Maudheimvida,Finland,-73.105278,-13.164722,http://www.antarctica.gov.au/
581,Nordenskiold,Finland,-73.05,-13.383333,http://www.antarctica.gov.au/
480,D-0,France,-66.688056,139.908611,http://www.institut-polaire.fr/language/en/
482,D-17,France,-66.73,139.7,http://www.institut-polaire.fr/language/en/
482,D-17 (FRA),France,-66.73,139.7,http://www.institut-polaire.fr/language/en/
483,D-3,France,-66.695,139.915,http://www.institut-polaire.fr/language/en/
485,DC-N,France,-74.879722,123.413333,http://www.institut-polaire.fr/language/en/
269,Dome C (FRA),France,-74.102778,123.345555,http://www.institut-polaire.fr/language/en/
259,Filchner,Germany,-80.43681,-44.43199,http://www.awi.de/en.html
260,Soerasen,Germany,-71.21625,-10.06716,http://www.awi.de/en.html
459,Alessandra,Italy,-73.58,166.62,http://www.pnra.it/it
461,Arelis,Italy,-76.72,162.97,http://www.pnra.it/it
478,Concordia,Italy,-75.1,123.4,http://www.pnra.it/it
491,Eneide,Italy,-74.7,164.1,http://www.pnra.it/it
498,Giulia,Italy,-75.55,145.83,http://www.pnra.it/it
502,Irene,Italy,-71.63,148.67,http://www.pnra.it/it
511,Lola,Italy,-74.13,163.43,http://www.pnra.it/it
558,Lucia,Italy,-74.950472,161.770694,http://www.pnra.it/it
567,Maria,Italy,-74.6262936,164.010992,http://www.pnra.it/it
517,Modesta,Italy,-73.63,160.65,http://www.pnra.it/it
559,Paola,Italy,-72.766944,159.0389,http://www.pnra.it/it
557,Penguin,Italy,-74.3333,165.1333,http://www.pnra.it/it
525,Rita,Italy,-74.72,164.03,http://www.pnra.it/it
529,Silvia,Italy,-73.05,169.6,http://www.pnra.it/it
532,Sofia-B,Italy,-73.58,158.32,http://www.pnra.it/it
655,Virginia,Italy,-74.93416667,163.7322222,http://www.pnra.it/it
542,Zoraida,Italy,-74.25,163.17,http://www.pnra.it/it
489,Dome Fuji (JPN),Japan,-77.316666,39.703056,http://www.nipr.ac.jp/
463,AWS 14,Netherlands,-67.021,-61.5,https://www.projects.science.uu.nl/iceclimate/aws/antarctica.php
465,AWS 17,Netherlands,-65.9321,-61.8471,https://www.projects.science.uu.nl/iceclimate/aws/antarctica.php
446,AWS 18,Netherlands,-66.4,-63.73333,https://www.projects.science.uu.nl/iceclimate/aws/antarctica.php
500,Halvfarryggen,Netherlands,-71.160278,-6.69861,https://www.projects.science.uu.nl/iceclimate/aws/antarctica.php
146,Kohnen Base,Netherlands,-75.002,-0.007,https://www.projects.science.uu.nl/iceclimate/aws/antarctica.php
471,Bratina Island,New Zealand,-78.016367,165.54975,http://www.antarcticanz.govt.nz/
472,Bull Pass,New Zealand,-77.31,161.51,http://www.antarcticanz.govt.nz/
484,Darwin Glacier - Central Valley,New Zealand,-79.84,159.32,http://www.antarcticanz.govt.nz/
492,Evans Piedmont Glacier,New Zealand,-76.725542,162.588381,http://www.antarcticanz.govt.nz/
497,Garwood Valley,New Zealand,-78.02305,163.896667,http://www.antarcticanz.govt.nz/
