Year: 2001  Month: 09  ID: PPT  ARGOS:  8910  Name: Penguin Point       
Lat: 67.62S  Lon: 146.18E  Elev:   30m
2001 244  9  1 0000  -14.9 1001.0   25.0  152.0   70.7  444.0
2001 244  9  1 0100  -15.1 1000.6   25.3  173.0   70.7  444.0
2001 244  9  1 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 244  9  1 0300  -15.2  998.6   15.3  162.0   70.7  444.0
2001 244  9  1 0400  -14.5  998.2   17.3  170.0   71.2  444.0
2001 244  9  1 0500  -14.4  998.4   21.0  179.0   71.2  444.0
2001 244  9  1 0600  -15.5  997.8   22.3  179.0   70.3  444.0
2001 244  9  1 0700  -15.4  996.5   22.3  162.0   71.2  444.0
2001 244  9  1 0800  -15.0  996.0   21.3  165.0   70.7  444.0
2001 244  9  1 0900  -15.4  995.2   23.3  176.0   70.7  444.0
2001 244  9  1 1000  -14.9  994.8   26.6  158.0   70.7  444.0
2001 244  9  1 1100  -13.6  993.3   20.6  146.0   71.6  444.0
2001 244  9  1 1200  -13.5  993.5   24.0  166.0   72.0  444.0
2001 244  9  1 1300  -13.5  991.5   21.6  159.0   72.5  444.0
2001 244  9  1 1400  -12.9  990.4   21.0  162.0   72.5  444.0
2001 244  9  1 1500  -12.6  989.0   17.3  148.0   72.9  444.0
2001 244  9  1 1600  -13.4  987.9   20.3  146.0   72.5  444.0
2001 244  9  1 1700  -14.1  986.7   19.6  132.0   72.0  444.0
2001 244  9  1 1800  -13.8  986.1   19.3  136.0   72.0  444.0
2001 244  9  1 1900  -14.1  985.8   21.0  142.0   72.9  444.0
2001 244  9  1 2000  -13.9  986.6   24.6  135.0   72.9  444.0
2001 244  9  1 2100  444.0  444.0  444.0  444.0  444.0  444.0
2001 244  9  1 2200  -12.1  984.3   19.3  142.0   74.2  444.0
2001 244  9  1 2300  -12.4  985.3   20.3  149.0   74.7  444.0
2001 245  9  2 0000  -12.9  985.1   21.0  149.0   74.2  444.0
2001 245  9  2 0100  -12.1  984.6   22.3  159.0   75.1  444.0
2001 245  9  2 0200  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 0300  -13.5  982.7   20.3  152.0   73.8  444.0
2001 245  9  2 0400  -14.0  981.4   20.3  150.0   74.2  444.0
2001 245  9  2 0500  -14.0  976.8    9.7  149.0   73.8  444.0
2001 245  9  2 0600  -13.8  977.9   23.0  148.0   74.7  444.0
2001 245  9  2 0700  -13.8  977.3   26.0  150.0   74.7  444.0
2001 245  9  2 0800  -13.5  976.9   27.6  152.0   75.1  444.0
2001 245  9  2 0900  -13.1  975.0   23.3  165.0   75.1  444.0
2001 245  9  2 1000  -12.5  974.9   22.6  152.0   75.1  444.0
2001 245  9  2 1100  -12.1  974.5   23.0  150.0   75.6  444.0
2001 245  9  2 1200  -12.4  974.0   19.3  159.0   75.6  444.0
2001 245  9  2 1300  -12.4  974.0   13.0  156.0   75.6  444.0
2001 245  9  2 1400  -12.4  973.9   15.7  155.0   75.6  444.0
2001 245  9  2 1500  -12.0  974.9   16.6  153.0   76.0  444.0
2001 245  9  2 1600  -12.4  975.9   19.6  150.0   75.1  444.0
2001 245  9  2 1700  -12.6  975.2   17.6  159.0   75.6  444.0
2001 245  9  2 1800  -13.5  977.2   21.3  148.0   74.7  444.0
2001 245  9  2 1900  444.0  444.0  444.0  444.0  444.0  444.0
2001 245  9  2 2000  -14.0  979.3   19.6  139.0   74.7  444.0
2001 245  9  2 2100  -14.1  980.9   20.6  148.0   74.7  444.0
2001 245  9  2 2200  -14.5  979.4   16.6  146.0   74.7  444.0
2001 245  9  2 2300  -14.9  982.1   17.0  156.0   74.2  444.0
