Year: 2002  Month: 06  ID: CBD  ARGOS:  8901  Name: Cape Bird           
Lat: 77.21S  Lon: 166.44E  Elev:   38m
2002 152  6  1 0000  -24.9 1008.5    0.0    0.0  444.0    0.2
2002 152  6  1 0100  -24.5 1008.4    1.0  200.0  444.0    0.2
2002 152  6  1 0200  -24.1 1008.1    0.4  196.0  444.0    0.2
2002 152  6  1 0300  -23.5 1008.1    1.2  198.0  444.0    0.2
2002 152  6  1 0400  -23.9 1008.1    1.2  193.0  444.0    0.2
2002 152  6  1 0500  -23.5 1007.9    1.2  216.0  444.0    0.2
2002 152  6  1 0600  -23.5 1008.0    1.0  205.0  444.0    0.2
2002 152  6  1 0700  -23.2 1008.1    3.1  189.0  444.0    0.2
2002 152  6  1 0800  -23.0 1008.1    2.7  195.0  444.0    0.2
2002 152  6  1 0900  -22.8 1008.0    2.9  188.0  444.0    0.2
2002 152  6  1 1000  -22.8 1008.4    1.8  167.0  444.0    0.6
2002 152  6  1 1100  -22.8 1008.1    2.9  172.0  444.0    0.2
2002 152  6  1 1200  -22.9 1007.7    2.9  198.0  444.0    0.2
2002 152  6  1 1300  -22.8 1007.8    1.6  231.0  444.0    0.2
2002 152  6  1 1400  -23.5 1007.8    2.1  157.0  444.0    0.2
2002 152  6  1 1500  -24.5 1008.1    1.0   77.0  444.0    0.2
2002 152  6  1 1600  -24.5 1008.0    1.4   61.0  444.0    0.2
2002 152  6  1 1700  -24.8 1008.0    4.5   51.0  444.0    0.2
2002 152  6  1 1800  -25.2 1008.2    3.5   51.0  444.0    0.2
2002 152  6  1 1900  -25.4 1008.2    3.1   50.0  444.0    0.2
2002 152  6  1 2000  -25.9 1008.1    1.9   70.0  444.0    0.2
2002 152  6  1 2100  -26.0 1008.5    1.4   36.0  444.0    0.2
2002 152  6  1 2200  -27.0 1008.5    1.8   60.0  444.0    0.2
2002 152  6  1 2300  444.0  444.0  444.0  444.0  444.0  444.0
