Year: 2002  Month: 04  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002  91  4  1 0000  -12.4 1000.2    1.6  255.0   61.5  444.0
2002  91  4  1 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002  91  4  1 0200  -15.5  999.8    1.8  148.0   72.5  444.0
2002  91  4  1 0300  -16.8  999.8    0.6  179.0   68.1  444.0
2002  91  4  1 0400  -17.4  999.8    1.8  214.0   67.6  444.0
2002  91  4  1 0500  -19.1  999.2    1.9   17.0   89.6  444.0
2002  91  4  1 0600  -22.4  999.1    2.9   15.0   93.2  444.0
2002  91  4  1 0700  -22.9  998.5    2.9   27.0   89.6  444.0
2002  91  4  1 0800  444.0  444.0  444.0  444.0  444.0  444.0
2002  91  4  1 0900  -20.0  997.8    7.2   27.0   94.9  444.0
2002  91  4  1 1000  -22.1  997.4    3.9   72.0   84.8  444.0
2002  91  4  1 1100  -21.4  997.0    4.5  188.0   85.7  444.0
2002  91  4  1 1200  -23.8  997.2    3.5  212.0   89.2  444.0
2002  91  4  1 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002  91  4  1 1400  -26.8  996.9    3.7   21.0   80.4  444.0
2002  91  4  1 1500  -27.9  996.4    0.8  107.0   81.3  444.0
2002  91  4  1 1600  -27.5  995.9    0.6  288.0   82.2  444.0
2002  91  4  1 1700  -26.6  994.9    1.0   18.0   86.1  444.0
2002  91  4  1 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002  91  4  1 1900  -29.6  994.4    1.4  169.0   82.6  444.0
2002  91  4  1 2000  -28.1  993.7    2.1  233.0   85.7  444.0
2002  91  4  1 2100  -29.1  993.6    1.0   77.0   84.4  444.0
2002  91  4  1 2200  -27.4  993.1    0.8  131.0   85.7  444.0
2002  91  4  1 2300  -26.0  992.9    1.6  148.0   87.4  444.0
2002  92  4  2 0000  -27.2  992.5    1.2   94.0   76.9  444.0
2002  92  4  2 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002  92  4  2 0200  -27.0  991.7    0.2   69.0   59.7  444.0
2002  92  4  2 0300  -26.4  991.1    1.0  172.0   73.4  444.0
2002  92  4  2 0400  -26.8  990.8    2.5  190.0   72.9  444.0
2002  92  4  2 0500  -28.5  990.4    2.1  332.0   71.6  444.0
2002  92  4  2 0600  444.0  444.0  444.0  444.0  444.0  444.0
2002  92  4  2 0700  -30.4  989.8    2.3  309.0   81.7  444.0
2002  92  4  2 0800  -32.1  989.6    0.8  266.0   80.0  444.0
2002  92  4  2 0900  -30.2  989.4    4.5   28.0   83.9  444.0
2002  92  4  2 1000  -31.0  989.1    0.8  249.0   80.4  444.0
2002  92  4  2 1100  444.0  444.0  444.0  444.0  444.0  444.0
2002  92  4  2 1200  -29.9  988.5    1.6  336.0   81.3  444.0
