Year: 2002  Month: 09  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 244  9  1 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 244  9  1 0100  -25.8  996.7    1.0  335.0   85.7  444.0
2002 244  9  1 0200  -25.8  996.7    1.6   69.0   80.8  444.0
2002 244  9  1 0300  -25.9  996.9    0.2  228.0   82.6  444.0
2002 244  9  1 0400  -25.9  997.1    2.5  314.0   85.7  444.0
2002 244  9  1 0500  -26.9  997.0    1.8  335.0   86.1  444.0
2002 244  9  1 0600  -26.9  997.0    0.6  186.0   85.7  444.0
2002 244  9  1 0700  -25.1  996.4    0.2    1.0   88.3  444.0
2002 244  9  1 0800  -25.8  996.2    0.6  195.0   87.4  444.0
2002 244  9  1 0900  -25.0  996.0    1.6  262.0   88.3  444.0
2002 244  9  1 1000  -24.6  995.7    3.5  307.0   88.8  444.0
2002 244  9  1 1100  -25.1  995.6    2.5  309.0   88.3  444.0
2002 244  9  1 1200  -24.9  995.5    2.5  345.0   89.2  444.0
2002 244  9  1 1300  -23.2  995.3    1.6  347.0   90.5  444.0
2002 244  9  1 1400  -23.4  995.4    1.0   59.0   90.5  444.0
2002 244  9  1 1500  -23.1  994.8    0.6   35.0   91.0  444.0
2002 244  9  1 1600  -22.5  994.7    1.6   30.0   91.8  444.0
2002 244  9  1 1700  444.0  444.0  444.0  444.0  444.0  444.0
2002 244  9  1 1800  -22.2  993.5    2.3   82.0   92.7  444.0
2002 244  9  1 1900  -22.0  993.3    1.9   42.0   93.2  444.0
2002 244  9  1 2000  -23.2  992.9    1.8  245.0   89.6  444.0
2002 244  9  1 2100  -24.4  992.9    1.6   18.0   90.5  444.0
2002 244  9  1 2200  -23.4  992.8    1.8   20.0   92.3  444.0
2002 244  9  1 2300  -20.8  992.4    1.4   48.0   94.9  444.0
2002 245  9  2 0000  -20.1  992.2    1.8   28.0   94.9  444.0
2002 245  9  2 0100  -25.8  992.1    2.1  347.0   88.3  444.0
2002 245  9  2 0200  -27.2  992.0    1.8  346.0   88.8  444.0
2002 245  9  2 0300  -26.8  992.0    0.6  208.0   88.3  444.0
2002 245  9  2 0400  -26.0  991.8    1.6   15.0   87.9  444.0
2002 245  9  2 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002 245  9  2 0600  -28.5  992.0    2.1  291.0   84.4  444.0
2002 245  9  2 0700  -27.0  991.8    2.7  316.0   86.1  444.0
2002 245  9  2 0800  -27.6  991.8    0.6  103.0   85.2  444.0
2002 245  9  2 0900  -26.8  992.2    1.0   58.0   86.6  444.0
2002 245  9  2 1000  444.0  444.0  444.0  444.0  444.0  444.0
2002 245  9  2 1100  -27.9  992.0    0.6   56.0   84.8  444.0
2002 245  9  2 1200  -27.2  991.6    0.8    1.0   86.1  444.0
2002 245  9  2 1300  -28.1  991.5    1.2  235.0   84.4  444.0
2002 245  9  2 1400  -27.6  991.5    1.0  256.0   85.2  444.0
2002 245  9  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2002 245  9  2 1600  -30.0  991.7    1.0  294.0   81.3  444.0
2002 245  9  2 1700  -29.5  991.9    2.5   97.0   83.0  444.0
2002 245  9  2 1800  -26.1  991.7    2.1   96.0   87.0  444.0
2002 245  9  2 1900  -24.5  991.9    1.0  107.0   88.3  444.0
2002 245  9  2 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002 245  9  2 2100  -27.5  992.0    2.1  166.0   85.7  444.0
2002 245  9  2 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002 245  9  2 2300  -23.9  992.4    5.3  149.0   90.1  444.0
2002 246  9  3 0000  -22.9  992.8    4.1  141.0   91.8  444.0
2002 246  9  3 0100  -23.1  993.2    1.0  115.0   92.3  444.0
2002 246  9  3 0200  -25.0  993.7    2.9  311.0   88.8  444.0
2002 246  9  3 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002 246  9  3 0400  -25.1  994.3    0.2   73.0   88.8  444.0
2002 246  9  3 0500  -25.2  994.5    0.2  250.0   88.3  444.0
2002 246  9  3 0600  -24.9  994.9    0.8  156.0   88.8  444.0
2002 246  9  3 0700  -25.0  995.4    1.0  124.0   88.8  444.0
2002 246  9  3 0800  444.0  444.0  444.0  444.0  444.0  444.0
2002 246  9  3 0900  -25.1  996.4    0.4  201.0   88.3  444.0
2002 246  9  3 1000  -25.2  996.6    1.2  112.0   88.3  444.0
2002 246  9  3 1100  -25.5  997.0    0.4   73.0   88.3  444.0
2002 246  9  3 1200  -24.5  997.6    1.2  159.0   89.2  444.0
2002 246  9  3 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 246  9  3 1400  -25.2  998.2    1.9   82.0   88.3  444.0
2002 246  9  3 1500  -23.5  998.4    2.5   51.0   91.0  444.0
2002 246  9  3 1600  -26.5  998.4    1.9  345.0   86.1  444.0
2002 246  9  3 1700  -26.8  998.5    2.5  345.0   87.0  444.0
2002 246  9  3 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 246  9  3 1900  -30.6  999.4    3.5   14.0   82.2  444.0
2002 246  9  3 2000  -32.0  999.7    3.9   27.0   80.0  444.0
2002 246  9  3 2100  -30.9 1000.4    2.1  127.0   80.4  444.0
2002 246  9  3 2200  -31.4 1000.1    0.4  198.0   80.4  444.0
2002 246  9  3 2300  -30.5 1000.3    1.6  316.0   83.0  444.0
2002 247  9  4 0000  -33.0 1000.3    0.6    1.0   79.1  444.0
2002 247  9  4 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 247  9  4 0200  -32.4 1000.6    0.8  108.0   79.5  444.0
2002 247  9  4 0300  -32.0 1000.4    1.6  180.0   79.5  444.0
2002 247  9  4 0400  -31.4 1000.5    0.4  311.0   80.4  444.0
2002 247  9  4 0500  -31.0 1000.4    2.1   13.0   81.3  444.0
2002 247  9  4 0600  -33.0 1000.5    2.3   58.0   77.8  444.0
2002 247  9  4 0700  -27.0 1000.5    1.0   56.0   86.1  444.0
2002 247  9  4 0800  -31.9 1000.4    0.4  260.0   79.5  444.0
2002 247  9  4 0900  -25.1 1000.3    0.6   45.0   87.9  444.0
2002 247  9  4 1000  -23.6 1000.2    0.8   34.0   89.6  444.0
