Year: 2002  Month: 11  ID: PTM  ARGOS:  8909  Name: Port Martin         
Lat: 66.82S  Lon: 141.40E  Elev:   39m
2002 305 11  1 0000  -11.0  993.0  444.0  444.0   61.5  444.0
2002 305 11  1 0100  -10.1  994.9  444.0  444.0   64.6  444.0
2002 305 11  1 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002 305 11  1 0300   -9.1  996.2  444.0  444.0   66.3  444.0
2002 305 11  1 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002 305 11  1 0500   -4.9  997.5  444.0  444.0   63.2  444.0
2002 305 11  1 0600   -5.8  998.0  444.0  444.0   65.4  444.0
2002 305 11  1 0700   -7.1  998.8  444.0  444.0   63.7  444.0
2002 305 11  1 0800   -7.1  999.3  444.0  444.0   62.8  444.0
2002 305 11  1 0900   -9.2  999.7  444.0  444.0   61.9  444.0
2002 305 11  1 1000  -10.4 1000.2  444.0  444.0   63.2  444.0
2002 305 11  1 1100  -10.1 1000.0  444.0  444.0   63.7  444.0
2002 305 11  1 1200  -10.6  999.7  444.0  444.0   63.2  444.0
2002 305 11  1 1300  -10.8 1001.3  444.0  444.0   63.2  444.0
2002 305 11  1 1400  -11.1 1001.8  444.0  444.0   63.2  444.0
2002 305 11  1 1500  -11.1 1000.0  444.0  444.0   63.2  444.0
2002 305 11  1 1600  -11.4 1000.8  444.0  444.0   62.8  444.0
2002 305 11  1 1700  -11.4  999.8  444.0  444.0   62.8  444.0
2002 305 11  1 1800  -11.4 1000.8  444.0  444.0   62.4  444.0
2002 305 11  1 1900  -11.4 1000.0  444.0  444.0   62.8  444.0
2002 305 11  1 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002 305 11  1 2100  -11.1  999.9  444.0  444.0   62.8  444.0
2002 305 11  1 2200  -10.4  444.0  444.0  444.0   62.4  444.0
2002 305 11  1 2300  -10.6  998.8  444.0  444.0   62.4  444.0
2002 306 11  2 0000  -10.1  998.3  444.0  444.0   62.4  444.0
2002 306 11  2 0100   -9.6  997.9  444.0  444.0   62.8  444.0
