Year: 2004  Month: 02  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2004  32  2  1 0000    2.3 1025.9    6.5   92.0   83.3  444.0
2004  32  2  1 0100  444.0  444.0    6.4   75.0   84.0  444.0
2004  32  2  1 0200  444.0  444.0  444.0  444.0  444.0  444.0
2004  32  2  1 0300    2.3  981.8    8.1   75.0   83.6  444.0
2004  32  2  1 0400    2.3  444.0    9.5   80.0   83.4  444.0
2004  32  2  1 0500    2.3  981.1   10.0   89.0   82.6  444.0
2004  32  2  1 0600    2.2  444.0    8.6   75.0   82.1  444.0
2004  32  2  1 0700    2.1  981.8    8.6   74.0   81.9  444.0
2004  32  2  1 0800  444.0  444.0    6.3  121.0  444.0  444.0
2004  32  2  1 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  32  2  1 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  32  2  1 1100    2.5  444.0    1.1   71.0   80.6  444.0
2004  32  2  1 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  32  2  1 1300    2.8  983.2    3.4   73.0   80.1  444.0
2004  32  2  1 1400  444.0  444.0  444.0  444.0  444.0  444.0
2004  32  2  1 1500    3.4  983.9    3.1   73.0   79.8  444.0
2004  32  2  1 1600    5.1  444.0  444.0  444.0   78.5  444.0
2004  32  2  1 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  32  2  1 1800    5.1  984.6    2.0  124.0   78.4  444.0
2004  32  2  1 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  32  2  1 2000    4.5  985.3    2.2  142.0   78.8  444.0
2004  32  2  1 2100    4.4  444.0    2.2  147.0   78.6  444.0
2004  32  2  1 2200    3.5  986.6    2.9  190.0   78.4  444.0
2004  32  2  1 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 0100    2.2  987.3    2.9   88.0   78.7  444.0
2004  33  2  2 0200    2.0  444.0    2.0   90.0   78.6  444.0
2004  33  2  2 0300    1.7  987.3    0.5   74.0   79.1  444.0
2004  33  2  2 0400  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 0500    0.6  988.0    0.0    0.0   79.8  444.0
2004  33  2  2 0600    0.7  444.0    0.0    0.0   81.5  444.0
2004  33  2  2 0700  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 0800    1.2  987.3  444.0  444.0   85.6  444.0
2004  33  2  2 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 1100    2.3  985.3   10.0   70.0   85.2  444.0
2004  33  2  2 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 1300    2.5  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 1400    2.8  444.0   12.6   70.0   83.1  444.0
2004  33  2  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 1600    3.3  978.4   12.3   71.0   82.0  444.0
2004  33  2  2 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 1800    2.4  975.6   14.7   74.0   81.0  444.0
2004  33  2  2 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  33  2  2 2000    1.9  974.9   12.9   73.0   80.5  444.0
2004  33  2  2 2100    2.0  444.0   13.9   73.0   79.9  444.0
2004  33  2  2 2200  444.0  444.0  444.0  444.0  444.0  444.0
