Year: 2006  Month: 03  ID: WDB  ARGOS:  8982  Name: Windless Bight      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2006  60  3  1 0000  -18.2  998.3    4.3   43.0   71.3  444.0
2006  60  3  1 0100  -18.3  998.6    4.2  100.0   64.8  444.0
2006  60  3  1 0200  -16.3  999.4    1.1   77.0  444.0  444.0
2006  60  3  1 0300  -16.1  999.8    1.9  299.0   61.3  444.0
2006  60  3  1 0400  -17.2 1000.2    1.6  341.0   61.7  444.0
2006  60  3  1 0500  -17.3 1000.6    7.4  212.0   63.0  444.0
2006  60  3  1 0600  -17.5 1001.1  444.0  444.0   67.9  444.0
2006  60  3  1 0700  -17.4 1001.0    6.3  288.0   61.7  444.0
2006  60  3  1 0800  -16.7 1001.7  444.0  444.0  444.0  444.0
2006  60  3  1 0900  -18.2 1001.7    2.6  345.0   57.7  444.0
2006  60  3  1 1000  -16.7 1001.6    3.9  346.0   51.8  444.0
2006  60  3  1 1100  -17.6 1000.8    2.8   40.0   49.1  444.0
2006  60  3  1 1200  -16.1 1000.6    3.2  346.0   51.3  444.0
2006  60  3  1 1300  -18.5 1000.5    2.7  306.0   43.4  444.0
2006  60  3  1 1400  444.0  444.0  444.0  444.0  444.0  444.0
2006  60  3  1 1500  -19.3  999.9    5.2    9.0  444.0  444.0
2006  60  3  1 1600  444.0  444.0  444.0  444.0  444.0  444.0
2006  60  3  1 1700  -20.2  999.8    2.8  304.0   52.0  444.0
2006  60  3  1 1800  -16.8  999.8    2.8  348.0   35.0  444.0
2006  60  3  1 1900  444.0  444.0  444.0  444.0  444.0  444.0
2006  60  3  1 2000  -21.9  999.6    0.5  211.0   43.0  444.0
2006  60  3  1 2100  -18.7  999.5    2.3  209.0   38.0  444.0
2006  60  3  1 2200  -21.3  999.4    1.7  258.0   37.0  444.0
2006  60  3  1 2300  -22.1  999.4    0.5  347.0   45.9  444.0
2006  61  3  2 0000  444.0  444.0  444.0  444.0  444.0  444.0
