Year: 2008  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 245  9  1 0000  -12.6 1009.2    1.1  283.0   91.0   -2.2
2008 245  9  1 0100  -13.1 1008.2    0.0    0.0   92.0   -2.4
2008 245  9  1 0200  -13.4 1010.2    0.9  293.0   91.0   -2.5
2008 245  9  1 0300  -13.7 1009.6    0.2  246.0   87.0   -2.6
2008 245  9  1 0400  -14.4 1009.1    0.3  271.0   89.0   -2.6
2008 245  9  1 0500  -15.2 1010.6    0.1  292.0   89.2   -2.5
2008 245  9  1 0600  -14.5 1013.3    0.0    0.0   90.2   -2.5
2008 245  9  1 0700  -14.6 1015.6  444.0  444.0   90.4   -2.5
2008 245  9  1 0800  -13.6 1018.5  444.0  444.0   90.4   -2.5
2008 245  9  1 0900  -13.6 1019.0  444.0  444.0  444.0   -2.6
2008 245  9  1 1000  -13.8 1018.9  444.0  444.0   90.3   -2.5
2008 245  9  1 1100  -13.7 1018.5  444.0  444.0   90.0   -2.5
2008 245  9  1 1200  -14.2 1019.0  444.0  444.0   89.5   -2.5
2008 245  9  1 1300  -12.5  444.0  444.0  444.0   91.8   -2.5
2008 245  9  1 1400  -11.4  444.0  444.0  444.0  444.0  444.0
2008 245  9  1 1500  -10.3  444.0  444.0  444.0   90.3   -2.6
2008 245  9  1 1600  -12.3  444.0    2.1  113.0   90.0   -2.5
2008 245  9  1 1700  -12.5  444.0    1.8  121.0   89.0   -2.3
2008 245  9  1 1800  -12.3  444.0    0.4   87.0   89.7   -2.4
2008 245  9  1 1900  -12.1  444.0    0.4  118.0  444.0   -2.2
2008 245  9  1 2000  -12.9  444.0    1.8  292.0   90.5   -2.2
2008 245  9  1 2100  -14.3 1005.2    1.6  292.0  444.0   -2.3
2008 245  9  1 2200  -14.1 1006.0    0.7  257.0   90.1   -2.3
2008 245  9  1 2300  -14.3 1009.0    1.5  298.0   90.0   -2.3
2008 246  9  2 0000  -14.5 1010.5    0.4  306.0   89.7   -2.2
2008 246  9  2 0100  -15.4 1010.0    0.9  296.0   88.2   -2.3
2008 246  9  2 0200  -16.3 1009.3    0.5  302.0   87.4   -2.3
2008 246  9  2 0300  -16.3 1013.2    0.4  291.0   89.0   -2.4
2008 246  9  2 0400  -15.6 1014.8    0.0    0.0   88.7   -2.5
2008 246  9  2 0500  -15.6 1016.0  444.0  444.0   88.7   -2.4
2008 246  9  2 0600  -16.1 1015.0  444.0  444.0   88.0   -2.4
2008 246  9  2 0700  -16.3 1013.6  444.0  444.0   88.0   -2.4
2008 246  9  2 0800  -16.7 1013.0  444.0  444.0   87.6   -2.5
2008 246  9  2 0900  -17.3 1012.1  444.0  444.0   87.9   -2.4
2008 246  9  2 1000  -18.0 1010.7  444.0  444.0   88.0   -2.2
2008 246  9  2 1100  -18.1  444.0  444.0  444.0   90.0   -2.3
2008 246  9  2 1200  -16.5  444.0  444.0  444.0  444.0   -2.2
2008 246  9  2 1300  -13.9  444.0  444.0  444.0   87.2   -2.2
2008 246  9  2 1400  -14.7  444.0    0.3   61.0  444.0   -1.9
2008 246  9  2 1500  -14.1  444.0    1.1   38.0   85.9   -2.1
2008 246  9  2 1600  -12.1  444.0    0.8   11.0   84.1   -2.1
2008 246  9  2 1700  444.0  444.0    0.0    0.0  444.0  444.0
2008 246  9  2 1800  444.0  444.0    0.0    0.0   68.0   -2.2
