Year: 2009  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2009 182  7  1 0000  -11.1 1004.3    1.5  160.0  444.0  444.0
2009 182  7  1 0100  -10.9 1004.6    1.5  172.0  444.0  444.0
2009 182  7  1 0200  -12.0 1005.2    1.7   27.0  444.0  444.0
2009 182  7  1 0300  -11.8 1005.3    1.7  229.0  444.0  444.0
2009 182  7  1 0400  -12.2 1005.8    0.0    0.0  444.0  444.0
2009 182  7  1 0500  -12.6 1005.7    2.5  300.0  444.0  444.0
2009 182  7  1 0600  -12.5 1006.2    3.2  215.0  444.0  444.0
2009 182  7  1 0700  -12.9 1006.4    0.0    0.0  444.0  444.0
2009 182  7  1 0800  -13.8 1006.5    6.9  295.0  444.0  444.0
2009 182  7  1 0900  -13.2 1006.7    5.6  302.0  444.0  444.0
2009 182  7  1 1000  -13.9 1006.4    5.1  283.0  444.0  444.0
2009 182  7  1 1100  -13.8 1006.5    3.7  312.0  444.0  444.0
2009 182  7  1 1200  -14.2 1006.7    3.2  278.0  444.0  444.0
2009 182  7  1 1300  -13.6 1006.4    3.9  304.0  444.0  444.0
2009 182  7  1 1400  -14.1 1006.8    3.7  295.0  444.0  444.0
2009 182  7  1 1500  -13.8 1007.0    3.7  311.0  444.0  444.0
2009 182  7  1 1600  -14.8 1006.8    4.4  301.0  444.0  444.0
2009 182  7  1 1700  -13.6 1006.7    4.7  314.0  444.0  444.0
2009 182  7  1 1800  -15.0 1006.2    3.7  302.0  444.0  444.0
2009 182  7  1 1900  -15.6 1006.5    4.2  271.0  444.0  444.0
2009 182  7  1 2000  -14.6 1005.8    2.7  295.0  444.0  444.0
2009 182  7  1 2100  -14.1 1005.2    2.0  292.0  444.0  444.0
2009 182  7  1 2200  -14.8 1004.6    2.5  301.0  444.0  444.0
2009 182  7  1 2300  -15.2 1003.4    3.4  302.0  444.0  444.0
2009 183  7  2 0000  -15.6 1002.9    4.2  309.0  444.0  444.0
2009 183  7  2 0100  -16.5 1002.0    6.1  308.0  444.0  444.0
2009 183  7  2 0200  -16.5 1001.1    2.5  319.0  444.0  444.0
2009 183  7  2 0300  -16.5 1000.3    0.7  318.0  444.0  444.0
2009 183  7  2 0400  -17.9  999.0    0.7  292.0  444.0  444.0
2009 183  7  2 0500  -17.1  997.9    1.7  290.0  444.0  444.0
2009 183  7  2 0600  -19.4  996.5    0.0    0.0  444.0  444.0
2009 183  7  2 0700  -18.4  995.2    1.2  146.0  444.0  444.0
2009 183  7  2 0800  -18.4  994.1    2.2  136.0  444.0  444.0
2009 183  7  2 0900  -21.1  993.5    0.7  159.0  444.0  444.0
2009 183  7  2 1000  -20.4  992.2    3.4  148.0  444.0  444.0
2009 183  7  2 1100  -18.8  992.2    5.6  152.0  444.0  444.0
2009 183  7  2 1200  -19.5  992.3    0.0    0.0  444.0  444.0
2009 183  7  2 1300  -17.9  992.3    2.5  207.0  444.0  444.0
2009 183  7  2 1400  -20.1  992.7    5.1  134.0  444.0  444.0
2009 183  7  2 1500  -17.4  992.3    2.5  172.0  444.0  444.0
2009 183  7  2 1600  -18.2  992.7    0.7   35.0  444.0  444.0
2009 183  7  2 1700  -20.5  992.5    0.0    0.0  444.0  444.0
2009 183  7  2 1800  -20.1  993.1    0.0    0.0  444.0  444.0
2009 183  7  2 1900  -18.6  992.6    2.0  202.0  444.0  444.0
2009 183  7  2 2000  -20.1  992.4    3.4  145.0  444.0  444.0
2009 183  7  2 2100  -20.4  993.5    0.0    0.0  444.0  444.0
2009 183  7  2 2200  -19.0  993.2    0.0    0.0  444.0  444.0
2009 183  7  2 2300  -19.2  992.7    3.7  301.0  444.0  444.0
2009 184  7  3 0000  -20.9  992.3    2.2  117.0  444.0  444.0
2009 184  7  3 0100  -20.2  991.5    1.0  308.0  444.0  444.0
2009 184  7  3 0200  -20.8  990.8    1.5  346.0  444.0  444.0
2009 184  7  3 0300  -17.6  989.2    3.4  314.0  444.0  444.0
2009 184  7  3 0400  -17.2  988.7    0.5  269.0  444.0  444.0
2009 184  7  3 0500  -17.0  988.2    0.7  343.0  444.0  444.0
2009 184  7  3 0600  -17.0  987.3    1.5  301.0  444.0  444.0
2009 184  7  3 0700  -17.0  986.6    0.5  360.0  444.0  444.0
2009 184  7  3 0800  -21.5  985.6    1.2  207.0  444.0  444.0
2009 184  7  3 0900  -23.4  985.3    3.4  127.0  444.0  444.0
2009 184  7  3 1000  -19.2  985.2    1.2  141.0  444.0  444.0
2009 184  7  3 1100  -20.5  984.7    2.0  136.0  444.0  444.0
2009 184  7  3 1200  -19.6  985.2    3.2  145.0  444.0  444.0
2009 184  7  3 1300  -18.9  985.3    4.9  146.0  444.0  444.0
2009 184  7  3 1400  -17.2  985.3    7.1  152.0  444.0  444.0
2009 184  7  3 1500  -20.1  985.5    5.1  139.0  444.0  444.0
2009 184  7  3 1600  -20.8  985.6    7.6  127.0  444.0  444.0
2009 184  7  3 1700  -21.4  985.1    7.8  145.0  444.0  444.0
2009 184  7  3 1800  -20.6  984.6    8.1  149.0  444.0  444.0
2009 184  7  3 1900  -21.4  984.2    8.8  131.0  444.0  444.0
2009 184  7  3 2000  -22.0  984.1    6.9  129.0  444.0  444.0
2009 184  7  3 2100  -22.0  984.0    2.2  111.0  444.0  444.0
2009 184  7  3 2200  -21.0  983.8    0.0    0.0  444.0  444.0
