Year: 2010  Month: 02  ID: CDN  ARGOS:  8988  Name: Cape Denison        
Lat: 67.01S  Lon: 142.67E  Elev:   31m
2010  32  2  1 0000   -2.6  977.2  444.0  444.0   99.3  444.0
2010  32  2  1 0100   -3.1  974.7  444.0  444.0   98.0  444.0
2010  32  2  1 0200   -2.6  975.1  444.0  444.0   99.3  444.0
2010  32  2  1 0300   -2.5  972.8  444.0  444.0  444.0  444.0
2010  32  2  1 0400   -2.5  973.0  444.0  444.0  444.0  444.0
2010  32  2  1 0500   -2.2  972.0  444.0  444.0  444.0  444.0
2010  32  2  1 0600   -0.5  968.6  444.0  444.0  444.0  444.0
2010  32  2  1 0700   -0.2  964.1  444.0  444.0  444.0  444.0
2010  32  2  1 0800   -0.2  964.9  444.0  444.0  444.0  444.0
2010  32  2  1 0900   -0.8  963.7  444.0  444.0  444.0  444.0
2010  32  2  1 1000   -0.8  963.9  444.0  444.0  444.0  444.0
2010  32  2  1 1100   -0.5  964.5  444.0  444.0  444.0  444.0
2010  32  2  1 1200   -0.5  964.5  444.0  444.0   97.1  444.0
2010  32  2  1 1300   -0.5  963.7  444.0  444.0  444.0  444.0
2010  32  2  1 1400   -0.1  963.3  444.0  444.0  444.0  444.0
2010  32  2  1 1500    0.0  964.2  444.0  444.0   94.0  444.0
2010  32  2  1 1600   -0.8  964.5  444.0  444.0   99.3  444.0
2010  32  2  1 1700   -1.4  965.4  444.0  444.0   94.9  444.0
2010  32  2  1 1800   -1.2  966.6  444.0  444.0   85.2  444.0
2010  32  2  1 1900   -0.9  966.4  444.0  444.0   80.4  444.0
2010  32  2  1 2000   -1.2  966.1  444.0  444.0   87.0  444.0
2010  32  2  1 2100   -1.8  966.6  444.0  444.0   91.8  444.0
2010  32  2  1 2200   -2.5  966.8  444.0  444.0   93.6  444.0
2010  32  2  1 2300   -2.0  967.3  444.0  444.0   89.6  444.0
2010  33  2  2 0000   -2.5  968.6  444.0  444.0   93.6  444.0
2010  33  2  2 0100   -2.2  968.7  444.0  444.0   94.0  444.0
2010  33  2  2 0200   -2.0  969.1  444.0  444.0   91.8  444.0
2010  33  2  2 0300   -1.8  970.7  444.0  444.0   91.4  444.0
2010  33  2  2 0400   -1.2  971.0  444.0  444.0   87.4  444.0
2010  33  2  2 0500   -1.2  971.0  444.0  444.0   91.0  444.0
2010  33  2  2 0600   -1.0  972.7  444.0  444.0   84.8  444.0
2010  33  2  2 0700   -0.8  972.6  444.0  444.0   82.6  444.0
2010  33  2  2 0800   -1.0  973.1  444.0  444.0   84.8  444.0
2010  33  2  2 0900   -1.0  974.1  444.0  444.0   82.2  444.0
2010  33  2  2 1000   -1.0  974.8  444.0  444.0   80.8  444.0
2010  33  2  2 1100   -1.2  976.3  444.0  444.0   80.4  444.0
2010  33  2  2 1200   -1.5  977.3  444.0  444.0   81.3  444.0
2010  33  2  2 1300   -2.0  978.4  444.0  444.0   79.5  444.0
2010  33  2  2 1400   -2.2  979.7  444.0  444.0   77.8  444.0
2010  33  2  2 1500   -2.2  979.3  444.0  444.0   78.2  444.0
2010  33  2  2 1600   -2.2  981.4  444.0  444.0   76.9  444.0
2010  33  2  2 1700   -2.9  982.9  444.0  444.0   78.2  444.0
2010  33  2  2 1800   -3.2  983.9  444.0  444.0   76.0  444.0
2010  33  2  2 1900   -3.6  985.8  444.0  444.0   67.2  444.0
2010  33  2  2 2000   -3.8  987.6  444.0  444.0   73.8  444.0
2010  33  2  2 2100   -4.0  989.2  444.0  444.0   69.8  444.0
2010  33  2  2 2200   -4.0  990.8  444.0  444.0   72.5  444.0
2010  33  2  2 2300   -2.9  991.5  444.0  444.0   69.8  444.0
2010  34  2  3 0000   -2.9  992.8  444.0  444.0   67.2  444.0
2010  34  2  3 0100   -2.6  994.4  444.0  444.0   64.6  444.0
2010  34  2  3 0200   -2.2  995.0  444.0  444.0   66.8  444.0
2010  34  2  3 0300   -0.1  996.0  444.0  444.0   52.7  444.0
2010  34  2  3 0400   -0.1  996.8  444.0  444.0   49.6  444.0
2010  34  2  3 0500   -0.9  997.3  444.0  444.0   60.2  444.0
2010  34  2  3 0600   -0.8  998.4  444.0  444.0   55.3  444.0
2010  34  2  3 0700   -0.9  998.7  444.0  444.0   55.8  444.0
2010  34  2  3 0800   -0.9  999.9  444.0  444.0   52.7  444.0
2010  34  2  3 0900   -1.4 1000.4  444.0  444.0   54.9  444.0
2010  34  2  3 1000   -1.8 1001.5  444.0  444.0   49.6  444.0
2010  34  2  3 1100   -3.2 1002.5  444.0  444.0   55.3  444.0
2010  34  2  3 1200   -4.6 1002.9  444.0  444.0   56.6  444.0
2010  34  2  3 1300   -4.9 1002.5  444.0  444.0   52.2  444.0
2010  34  2  3 1400   -5.0 1003.6  444.0  444.0   51.8  444.0
2010  34  2  3 1500   -5.4 1003.8  444.0  444.0   50.0  444.0
2010  34  2  3 1600   -5.2 1004.7  444.0  444.0   50.5  444.0
2010  34  2  3 1700   -5.5 1002.7  444.0  444.0   50.9  444.0
2010  34  2  3 1800   -6.4 1002.2  444.0  444.0   51.4  444.0
2010  34  2  3 1900   -6.5 1002.9  444.0  444.0   51.8  444.0
2010  34  2  3 2000   -6.6 1003.1  444.0  444.0   52.2  444.0
2010  34  2  3 2100   -6.1 1003.6  444.0  444.0   55.8  444.0
2010  34  2  3 2200   -5.4 1004.1  444.0  444.0   54.0  444.0
2010  34  2  3 2300   -2.4 1004.6  444.0  444.0   39.9  444.0
2010  35  2  4 0000   -3.0 1003.8  444.0  444.0   50.0  444.0
2010  35  2  4 0100   -0.6 1003.7  444.0  444.0   34.6  444.0
2010  35  2  4 0200    0.0 1003.7  444.0  444.0   46.1  444.0
2010  35  2  4 0300    0.5 1003.4  444.0  444.0   45.6  444.0
2010  35  2  4 0400    1.2 1002.6  444.0  444.0   38.2  444.0
2010  35  2  4 0500    1.6 1001.5  444.0  444.0   39.0  444.0
2010  35  2  4 0600    2.2 1000.5  444.0  444.0   48.7  444.0
2010  35  2  4 0700    3.6  999.9  444.0  444.0   42.6  444.0
2010  35  2  4 0800    4.0  999.2  444.0  444.0   43.0  444.0
2010  35  2  4 0900    1.4  998.2  444.0  444.0   56.2  444.0
2010  35  2  4 1000    0.6  997.7  444.0  444.0   69.8  444.0
2010  35  2  4 1100    0.8  997.1  444.0  444.0   59.3  444.0
2010  35  2  4 1200   -0.2  996.2  444.0  444.0   41.7  444.0
2010  35  2  4 1300   -1.8  994.0  444.0  444.0   46.5  444.0
2010  35  2  4 1400   -2.9  992.5  444.0  444.0   52.7  444.0
2010  35  2  4 1500   -4.4  991.1  444.0  444.0   53.1  444.0
2010  35  2  4 1600   -4.9  990.7  444.0  444.0   51.8  444.0
2010  35  2  4 1700   -5.5  989.9  444.0  444.0   53.6  444.0
2010  35  2  4 1800   -5.9  988.8  444.0  444.0   52.7  444.0
2010  35  2  4 1900   -5.9  986.0  444.0  444.0   54.9  444.0
2010  35  2  4 2000   -6.1  983.3  444.0  444.0   64.1  444.0
2010  35  2  4 2100   -6.1  980.6  444.0  444.0   71.6  444.0
2010  35  2  4 2200   -5.9  981.1  444.0  444.0   64.1  444.0
2010  35  2  4 2300   -5.8  977.2  444.0  444.0   76.0  444.0
2010  36  2  5 0000   -5.8  976.9  444.0  444.0   81.7  444.0
2010  36  2  5 0100   -5.0  974.6  444.0  444.0   78.6  444.0
2010  36  2  5 0200   -4.8  973.5  444.0  444.0   82.2  444.0
2010  36  2  5 0300   -4.1  975.2  444.0  444.0   78.2  444.0
2010  36  2  5 0400   -3.2  975.7  444.0  444.0   74.7  444.0
2010  36  2  5 0500   -3.5  977.0  444.0  444.0   98.0  444.0
2010  36  2  5 0600   -4.6  967.7  444.0  444.0   99.3  444.0
2010  36  2  5 0700   -4.9  966.7  444.0  444.0   96.2  444.0
2010  36  2  5 0800   -4.8  963.4  444.0  444.0   99.8  444.0
2010  36  2  5 0900   -4.1  962.3  444.0  444.0   97.1  444.0
2010  36  2  5 1000   -4.1  444.0  444.0  444.0   99.3  444.0
2010  36  2  5 1100   -3.8  962.5  444.0  444.0   98.9  444.0
2010  36  2  5 1200   -3.4  444.0  444.0  444.0  444.0  444.0
2010  36  2  5 1300   -2.9  962.9  444.0  444.0   94.0  444.0
2010  36  2  5 1400   -2.9  965.6  444.0  444.0   99.3  444.0
2010  36  2  5 1500   -2.4  966.9  444.0  444.0   92.3  444.0
2010  36  2  5 1600   -2.2  966.4  444.0  444.0   88.8  444.0
2010  36  2  5 1700   -1.9  966.4  444.0  444.0   84.4  444.0
2010  36  2  5 1800   -1.5  967.2  444.0  444.0   81.3  444.0
2010  36  2  5 1900   -1.2  970.1  444.0  444.0   79.5  444.0
2010  36  2  5 2000   -0.9  971.2  444.0  444.0   76.9  444.0
2010  36  2  5 2100   -0.2  974.4  444.0  444.0   74.2  444.0
2010  36  2  5 2200    0.4  973.7  444.0  444.0   73.4  444.0
2010  36  2  5 2300    0.4  977.1  444.0  444.0   74.2  444.0
2010  37  2  6 0000    1.0  980.7  444.0  444.0   71.2  444.0
2010  37  2  6 0100    1.1  981.9  444.0  444.0   70.7  444.0
2010  37  2  6 0200    1.4  982.6  444.0  444.0   63.7  444.0
2010  37  2  6 0300    1.8  984.2  444.0  444.0   64.1  444.0
2010  37  2  6 0400    1.9  986.3  444.0  444.0   65.4  444.0
2010  37  2  6 0500    1.9  987.7  444.0  444.0   65.0  444.0
2010  37  2  6 0600    2.2  989.1  444.0  444.0   73.4  444.0
2010  37  2  6 0700    1.9  990.0  444.0  444.0   83.0  444.0
2010  37  2  6 0800    2.5  991.0  444.0  444.0   69.0  444.0
2010  37  2  6 0900    1.9  992.4  444.0  444.0   70.7  444.0
2010  37  2  6 1000    1.8  993.3  444.0  444.0   67.2  444.0
2010  37  2  6 1100    1.4  994.5  444.0  444.0   66.8  444.0
2010  37  2  6 1200    1.1  995.5  444.0  444.0   64.1  444.0
2010  37  2  6 1300    1.4  996.4  444.0  444.0   52.2  444.0
2010  37  2  6 1400    0.4  997.4  444.0  444.0   58.8  444.0
2010  37  2  6 1500   -0.8  998.5  444.0  444.0   66.3  444.0
2010  37  2  6 1600   -2.5  995.7  444.0  444.0   64.6  444.0
2010  37  2  6 1700   -4.2  996.9  444.0  444.0   61.9  444.0
2010  37  2  6 1800   -4.9  998.0  444.0  444.0   59.3  444.0
2010  37  2  6 1900   -5.2  998.0  444.0  444.0   57.1  444.0
2010  37  2  6 2000   -5.0  999.0  444.0  444.0   56.6  444.0
2010  37  2  6 2100   -4.8 1000.4  444.0  444.0   56.6  444.0
2010  37  2  6 2200   -4.4  999.9  444.0  444.0   55.3  444.0
2010  37  2  6 2300   -4.1 1001.6  444.0  444.0   54.4  444.0
2010  38  2  7 0000   -3.4 1003.2  444.0  444.0   56.6  444.0
2010  38  2  7 0100   -2.6 1003.2  444.0  444.0   51.8  444.0
2010  38  2  7 0200   -2.0 1003.2  444.0  444.0   53.1  444.0
2010  38  2  7 0300   -2.0 1004.0  444.0  444.0   62.8  444.0
2010  38  2  7 0400   -0.9 1004.7  444.0  444.0   50.9  444.0
2010  38  2  7 0500    0.8 1003.3  444.0  444.0   52.2  444.0
2010  38  2  7 0600   -0.1 1001.7  444.0  444.0   56.6  444.0
2010  38  2  7 0700   -0.2 1002.4  444.0  444.0   50.9  444.0
2010  38  2  7 0800   -0.2 1000.9  444.0  444.0   61.5  444.0
2010  38  2  7 0900   -0.9 1001.5  444.0  444.0   56.2  444.0
2010  38  2  7 1000   -0.8 1001.0  444.0  444.0   58.4  444.0
2010  38  2  7 1100   -1.8 1000.5  444.0  444.0   65.9  444.0
2010  38  2  7 1200   -1.8  999.8  444.0  444.0   65.9  444.0
2010  38  2  7 1300   -2.0  999.9  444.0  444.0   65.9  444.0
2010  38  2  7 1400   -2.5  999.6  444.0  444.0   69.8  444.0
2010  38  2  7 1500   -2.2  999.0  444.0  444.0   65.4  444.0
2010  38  2  7 1600   -2.5  997.8  444.0  444.0   62.4  444.0
2010  38  2  7 1700   -2.4  996.0  444.0  444.0   63.2  444.0
2010  38  2  7 1800   -2.6  994.3  444.0  444.0   64.6  444.0
