Year: 2011  Month: 04  ID: FE2  ARGOS:  8947  Name: Ferrell II          
Lat: 77.85S  Lon: 170.82E  Elev:   45m
2011  91  4  1 0000  -28.0  996.4    6.0  202.0   75.0  444.0
2011  91  4  1 0100  -28.9  995.9    7.6  175.0   75.0  444.0
2011  91  4  1 0200  -28.9  995.4    5.4  157.0   75.0  444.0
2011  91  4  1 0300  -28.8  994.8    1.0  223.0   74.0  444.0
2011  91  4  1 0400  -28.4  994.5    1.7  255.0   76.0  444.0
2011  91  4  1 0500  -30.3  994.1    2.5  277.0   74.0  444.0
2011  91  4  1 0600  -28.1  993.6    2.3  254.0   75.0  444.0
2011  91  4  1 0700  -29.1  992.9    2.3  192.0   75.0  444.0
2011  91  4  1 0800  -30.8  992.6    1.9  251.0   73.9  444.0
2011  91  4  1 0900  -29.4  992.1    1.0  132.0   76.0  444.0
2011  91  4  1 1000  -28.7  991.4    2.7  106.0   76.0  444.0
2011  91  4  1 1100  -29.1  991.0    2.4  109.0   75.0  444.0
2011  91  4  1 1200  -28.9  990.6    3.6  133.0   76.0  444.0
2011  91  4  1 1300  -27.7  990.6    3.2  113.0   77.0  444.0
2011  91  4  1 1400  -27.1  990.1    3.8  108.0   77.0  444.0
2011  91  4  1 1500  -27.4  990.0    1.7  140.0   77.0  444.0
2011  91  4  1 1600  -26.3  989.8    7.0  129.0   77.0  444.0
2011  91  4  1 1700  -26.8  989.8    5.8  118.0   74.0  444.0
2011  91  4  1 1800  -27.4  989.6    5.3  110.0   72.0  444.0
2011  91  4  1 1900  -27.4  990.0    2.2  158.0   72.0  444.0
2011  91  4  1 2000  -27.3  990.0    3.6  115.0   71.0  444.0
2011  91  4  1 2100  -27.2  990.1    4.5  127.0   71.0  444.0
2011  91  4  1 2200  -27.7  990.6    3.5  107.0   70.0  444.0
2011  91  4  1 2300  -28.2  990.5    4.1  105.0   70.0  444.0
2011  92  4  2 0000  -27.6  990.6    4.7  106.0   68.0  444.0
2011  92  4  2 0100  -27.4  990.6    5.2  107.0   67.7  444.0
2011  92  4  2 0200  -27.1  991.0    5.4  121.0   70.0  444.0
2011  92  4  2 0300  -26.8  991.3    4.6  123.0   71.0  444.0
2011  92  4  2 0400  -26.7  991.5    4.8  130.0   71.0  444.0
