Year: 2011  Month: 08  ID: FSB  ARGOS:  8920  Name: Fossil Bluff        
Lat: 71.34S  Lon:  68.29W  Elev:   63m
2011 213  8  1 0000  -27.9 1001.2  444.0  444.0   77.1  444.0
2011 213  8  1 0100  -27.1 1000.3    2.9  331.0   78.7  444.0
2011 213  8  1 0200  -26.6 1000.4    1.1  216.0   78.4  444.0
2011 213  8  1 0300  -26.3 1000.2    5.7  328.0   78.8  444.0
2011 213  8  1 0400  -29.5  999.5    1.6  321.0   75.6  444.0
2011 213  8  1 0500  -28.9  998.9    1.3  330.0   77.3  444.0
2011 213  8  1 0600  -27.2  998.8    2.3  326.0   77.9  444.0
2011 213  8  1 0700  -28.8  998.5    1.4  232.0   77.0  444.0
2011 213  8  1 0800  -30.5  997.8    3.2  352.0   72.3  444.0
2011 213  8  1 0900  -30.2  997.8    3.6  341.0   75.5  444.0
2011 213  8  1 1000  -27.1  997.7    1.1  265.0   78.8  444.0
2011 213  8  1 1100  -30.2  997.2    2.6  326.0   75.3  444.0
2011 213  8  1 1200  444.0  444.0  444.0  444.0  444.0  444.0
2011 213  8  1 1300  -31.8  996.8    0.9  331.0   71.5  444.0
2011 213  8  1 1400  -31.1  997.0    3.7  331.0   73.4  444.0
2011 213  8  1 1500  -30.9  996.9    3.9  328.0   74.1  444.0
2011 213  8  1 1600  -32.6  997.0    1.2  271.0   71.8  444.0
2011 213  8  1 1700  -32.0  997.2    0.8  267.0   73.9  444.0
2011 213  8  1 1800  -29.2  997.4  444.0  444.0   77.1  444.0
2011 213  8  1 1900  -31.4  997.8    2.7  335.0   73.1  444.0
2011 213  8  1 2000  444.0  444.0  444.0  444.0  444.0  444.0
2011 213  8  1 2100  -32.3  999.0    0.3  222.0   73.0  444.0
2011 213  8  1 2200  -35.0  999.2    1.2  199.0   69.4  444.0
2011 213  8  1 2300  -33.5  999.1    2.0  188.0   71.9  444.0
2011 214  8  2 0000  -31.6  999.6    0.9  196.0   73.4  444.0
2011 214  8  2 0100  -33.8  999.6    1.6  330.0   72.1  444.0
2011 214  8  2 0200  -30.6  999.5    0.2  335.0   74.0  444.0
2011 214  8  2 0300  -33.3  999.9    1.0  327.0   72.2  444.0
2011 214  8  2 0400  -30.8  999.8    0.8  158.0   73.8  444.0
2011 214  8  2 0500  -32.8 1000.1    0.8  211.0   70.9  444.0
2011 214  8  2 0600  -32.3 1000.0    2.0  308.0   72.6  444.0
2011 214  8  2 0700  -30.9 1000.3    0.8  331.0   73.7  444.0
2011 214  8  2 0800  -36.0 1000.4    0.8  353.0   65.3  444.0
2011 214  8  2 0900  -33.1 1000.9    1.2  320.0   70.8  444.0
2011 214  8  2 1000  -30.9 1000.8    0.8  312.0   70.1  444.0
2011 214  8  2 1100  -31.1 1001.0    0.5  318.0   73.6  444.0
2011 214  8  2 1200  444.0  444.0  444.0  444.0  444.0  444.0
2011 214  8  2 1300  -31.4 1001.6    0.7  330.0   73.3  444.0
2011 214  8  2 1400  -31.7 1001.9    1.0   68.0   73.0  444.0
2011 214  8  2 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 214  8  2 1600  -29.0 1002.0    1.1  335.0   76.0  444.0
2011 214  8  2 1700  -28.1 1002.1    0.9   49.0   75.6  444.0
2011 214  8  2 1800  444.0  444.0  444.0  444.0  444.0  444.0
2011 214  8  2 1900  -29.5 1002.7    2.0  347.0   75.1  444.0
2011 214  8  2 2000  -28.6 1003.2    0.9  342.0   75.7  444.0
2011 214  8  2 2100  -29.1 1003.5    0.7  350.0   75.3  444.0
2011 214  8  2 2200  -27.5 1003.6    1.1  336.0   77.0  444.0
2011 214  8  2 2300  -29.7 1003.9    2.2  342.0   75.2  444.0
2011 215  8  3 0000  -30.1 1004.1    0.8  337.0   73.8  444.0
2011 215  8  3 0100  -29.6 1004.3    1.7  340.0   75.2  444.0
2011 215  8  3 0200  -30.2 1004.2    1.4  359.0   73.5  444.0
2011 215  8  3 0300  -31.3 1004.5    1.0  335.0   73.7  444.0
2011 215  8  3 0400  -30.9 1004.8    1.5   32.0   73.5  444.0
2011 215  8  3 0500  -28.3 1004.6    1.9  247.0   76.8  444.0
2011 215  8  3 0600  -29.2 1005.0    2.9  338.0   76.6  444.0
2011 215  8  3 0700  -29.0 1005.1    1.6  330.0   75.8  444.0
2011 215  8  3 0800  -28.9 1005.5    0.7  225.0   76.0  444.0
2011 215  8  3 0900  -29.5 1005.7    1.2  342.0   75.4  444.0
2011 215  8  3 1000  -30.4 1005.5    0.9  296.0   74.7  444.0
2011 215  8  3 1100  -29.8 1005.4    1.1  344.0   75.1  444.0
2011 215  8  3 1200  -29.2 1005.3    2.9  330.0   75.5  444.0
2011 215  8  3 1300  444.0  444.0  444.0  444.0  444.0  444.0
2011 215  8  3 1400  -28.8 1005.6    0.4  325.0   76.0  444.0
2011 215  8  3 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 215  8  3 1600  444.0  444.0  444.0  444.0  444.0  444.0
2011 215  8  3 1700  -29.2 1005.3  444.0  444.0   75.5  444.0
2011 215  8  3 1800  -29.2 1005.5    0.4  310.0   76.2  444.0
2011 215  8  3 1900  -29.1 1005.5    1.3    7.0   75.0  444.0
2011 215  8  3 2000  -30.6 1005.7    1.3  355.0   74.0  444.0
2011 215  8  3 2100  -30.1 1005.5    2.9  336.0   74.3  444.0
2011 215  8  3 2200  -32.2 1005.5    1.5  332.0   71.6  444.0
2011 215  8  3 2300  -31.9 1005.5    0.7  242.0   72.0  444.0
2011 216  8  4 0000  -31.6 1005.4    0.1  302.0   73.2  444.0
2011 216  8  4 0100  -33.8 1005.5    1.3  198.0   70.6  444.0
2011 216  8  4 0200  -33.0 1005.1    0.5  171.0   71.4  444.0
2011 216  8  4 0300  -33.1 1004.9    0.7  334.0   72.0  444.0
2011 216  8  4 0400  -29.9 1004.8    1.3  191.0   75.6  444.0
2011 216  8  4 0500  -34.7 1004.8    0.7  196.0   69.6  444.0
2011 216  8  4 0600  -33.2 1004.8    0.8  180.0   73.2  444.0
