Year: 2012  Month: 10  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2012 275 10  1 0000   -1.5 1000.0    9.3   60.0   97.0  444.0
2012 275 10  1 0100   -1.4  999.2    8.5   56.0   97.0  444.0
2012 275 10  1 0200   -1.5  998.6    8.9   59.0   97.2  444.0
2012 275 10  1 0300   -1.6  997.9    9.8   69.0   97.0  444.0
2012 275 10  1 0400   -1.6  996.9   10.0   74.0   97.0  444.0
2012 275 10  1 0500   -1.5  996.1   10.1   76.0   97.0  444.0
2012 275 10  1 0600   -1.5  995.1   10.6   72.0   97.0  444.0
2012 275 10  1 0700   -1.6  994.1   10.5   65.0   97.2  444.0
2012 275 10  1 0800   -1.6  993.3    9.8   65.0   97.0  444.0
2012 275 10  1 0900   -1.8  992.2    8.1   77.0   97.0  444.0
2012 275 10  1 1000   -1.8  991.0    7.3   87.0   97.0  444.0
2012 275 10  1 1100   -1.6  990.1    6.5   89.0   97.0  444.0
2012 275 10  1 1200   -2.0  988.8    6.3  100.0   96.8  444.0
2012 275 10  1 1300   -2.0  987.3    7.3  103.0   96.0  444.0
2012 275 10  1 1400   -1.8  985.7    7.2  102.0   96.0  444.0
2012 275 10  1 1500   -1.3  984.2    8.2   88.0   96.1  444.0
2012 275 10  1 1600   -2.0  982.3    6.8  120.0   96.0  444.0
2012 275 10  1 1700   -1.7  979.8   10.6  128.0   97.0  444.0
2012 275 10  1 1800   -1.2  977.4   13.6  104.0   97.0  444.0
2012 275 10  1 1900   -1.2  976.0   13.4  106.0   97.2  444.0
2012 275 10  1 2000   -1.4  975.4   10.8   92.0   97.0  444.0
2012 275 10  1 2100   -1.1  974.2   11.7   87.0   97.5  444.0
2012 275 10  1 2200   -1.1  972.1   14.6   68.0   97.0  444.0
2012 275 10  1 2300   -1.3  971.2   14.0   66.0   97.0  444.0
2012 276 10  2 0000   -1.5  971.0   13.2   69.0   97.2  444.0
2012 276 10  2 0100   -1.6  969.9   12.1   67.0   97.0  444.0
2012 276 10  2 0200   -1.7  969.6   12.1   63.0   97.0  444.0
2012 276 10  2 0300   -1.9  969.1   10.3   66.0   97.0  444.0
2012 276 10  2 0400   -1.9  968.8    7.4   64.0   97.0  444.0
2012 276 10  2 0500   -1.8  969.0    4.8   59.0   97.2  444.0
2012 276 10  2 0600   -1.8  968.6    4.4   61.0   97.0  444.0
2012 276 10  2 0700   -1.9  969.0    4.0   50.0   97.0  444.0
2012 276 10  2 0800   -1.9  969.1    3.4   53.0   97.0  444.0
2012 276 10  2 0900   -1.9  969.3    3.2   55.0   97.0  444.0
2012 276 10  2 1000   -1.8  969.9    2.8   45.0   97.0  444.0
2012 276 10  2 1100   -1.8  970.3    2.7   50.0   97.0  444.0
2012 276 10  2 1200   -1.7  970.7    2.3   39.0   96.9  444.0
2012 276 10  2 1300   -1.7  971.2    0.8   36.0   96.6  444.0
2012 276 10  2 1400   -2.1  972.2   10.0  310.0   96.0  444.0
2012 276 10  2 1500   -2.0  973.2    9.6  304.0   95.9  444.0
2012 276 10  2 1600   -1.9  974.7   10.7  302.0   96.0  444.0
2012 276 10  2 1700   -2.2  976.0   10.6  298.0   95.0  444.0
2012 276 10  2 1800   -2.3  977.5    8.6  296.0   95.3  444.0
2012 276 10  2 1900   -2.0  979.0    6.6  304.0   95.7  444.0
2012 276 10  2 2000   -2.4  980.2    5.4  320.0   95.4  444.0
2012 276 10  2 2100   -1.9  981.0    1.9  342.0   96.0  444.0
2012 276 10  2 2200   -2.0  981.9    3.8  349.0   96.6  444.0
2012 276 10  2 2300   -2.0  982.8    3.4   53.0   97.0  444.0
2012 277 10  3 0000   -1.9  983.9    5.2   21.0   96.9  444.0
2012 277 10  3 0100   -2.4  984.1    7.4   36.0   96.1  444.0
2012 277 10  3 0200   -2.8  984.4    6.6   58.0   96.0  444.0
2012 277 10  3 0300   -2.3  984.4    5.7   82.0   96.0  444.0
2012 277 10  3 0400   -2.0  984.5    7.2   86.0   96.0  444.0
2012 277 10  3 0500   -2.0  984.2    8.6   81.0   98.0  444.0
2012 277 10  3 0600   -1.9  984.4    7.8   86.0   96.8  444.0
2012 277 10  3 0700   -1.7  983.9   10.5   89.0   97.0  444.0
2012 277 10  3 0800   -1.7  983.9   11.5   86.0   97.0  444.0
2012 277 10  3 0900   -1.5  983.7   12.3   82.0   97.0  444.0
2012 277 10  3 1000   -1.4  983.7   12.9   69.0   97.0  444.0
2012 277 10  3 1100   -1.2  983.8   13.1   65.0   97.3  444.0
2012 277 10  3 1200   -1.2  983.5   13.8   67.0   97.0  444.0
2012 277 10  3 1300   -1.0  983.5   14.1   70.0   97.3  444.0
2012 277 10  3 1400   -0.7  983.5   12.4   75.0   97.0  444.0
2012 277 10  3 1500   -0.5  983.0   11.5   78.0   97.7  444.0
2012 277 10  3 1600   -0.4  982.2   14.6   76.0   97.7  444.0
2012 277 10  3 1700   -0.3  981.9   14.5   75.0   98.0  444.0
2012 277 10  3 1800   -0.2  981.7   15.2   64.0   97.8  444.0
2012 277 10  3 1900   -0.8  982.0   14.4   56.0   98.0  444.0
2012 277 10  3 2000   -1.0  982.2   13.5   57.0   98.0  444.0
2012 277 10  3 2100   -1.1  982.2   11.9   67.0   98.0  444.0
2012 277 10  3 2200   -1.1  982.8   11.5   53.0   97.5  444.0
2012 277 10  3 2300   -1.3  983.3   11.5   52.0   97.5  444.0
2012 278 10  4 0000   -1.3  984.0   10.8   63.0   98.0  444.0
2012 278 10  4 0100   -1.4  983.8   11.1   59.0   98.0  444.0
2012 278 10  4 0200   -1.4  984.2    9.6   60.0   97.0  444.0
2012 278 10  4 0300   -1.4  984.4    8.2   64.0   97.5  444.0
2012 278 10  4 0400   -1.5  984.2    8.6   65.0   97.4  444.0
2012 278 10  4 0500   -1.6  984.3    8.7   65.0   97.0  444.0
2012 278 10  4 0600   -1.7  984.5    7.9   65.0   97.0  444.0
2012 278 10  4 0700   -2.1  984.7    8.0   53.0   97.0  444.0
2012 278 10  4 0800   -2.0  985.0    7.5   61.0   97.0  444.0
2012 278 10  4 0900   -1.9  985.4    6.5   73.0   97.0  444.0
2012 278 10  4 1000   -1.9  985.8    6.2   61.0   96.8  444.0
2012 278 10  4 1100   -1.6  985.5    7.2   85.0   97.2  444.0
2012 278 10  4 1200   -1.5  985.8    6.0   65.0   97.0  444.0
2012 278 10  4 1300   -1.5  985.6    7.5   66.0   97.0  444.0
2012 278 10  4 1400   -1.1  985.8    6.0   73.0   96.2  444.0
2012 278 10  4 1500   -0.6  985.6    5.3   84.0   95.8  444.0
2012 278 10  4 1600   -0.3  985.3    4.0  101.0   94.8  444.0
2012 278 10  4 1700   -1.3  984.7    4.4  101.0   93.5  444.0
2012 278 10  4 1800   -0.2  984.3    0.8  124.0   94.4  444.0
2012 278 10  4 1900   -1.1  983.1    2.8  238.0   96.0  444.0
2012 278 10  4 2000   -1.0  982.4    2.7  236.0   96.0  444.0
2012 278 10  4 2100   -1.4  981.5    3.0  238.0   96.4  444.0
2012 278 10  4 2200   -1.7  980.9    3.3  206.0   97.0  444.0
2012 278 10  4 2300   -1.7  980.0    3.7  246.0   96.7  444.0
2012 279 10  5 0000   -1.2  979.4    6.5  232.0   97.0  444.0
2012 279 10  5 0100   -1.2  978.1    6.6  219.0   97.0  444.0
2012 279 10  5 0200   -0.9  977.1    7.1  228.0   96.3  444.0
2012 279 10  5 0300   -1.3  975.8    8.5  238.0   96.0  444.0
2012 279 10  5 0400   -1.3  975.1    7.7  230.0   95.1  444.0
2012 279 10  5 0500   -1.5  974.3    9.6  235.0   94.0  444.0
2012 279 10  5 0600   -2.0  973.5    7.7  241.0   95.0  444.0
2012 279 10  5 0700   -1.8  973.2    8.6  235.0   92.0  444.0
2012 279 10  5 0800   -1.8  972.7    7.8  237.0   91.2  444.0
2012 279 10  5 0900   -1.9  972.4    7.0  248.0   91.9  444.0
2012 279 10  5 1000   -1.8  972.5    6.1  251.0   93.0  444.0
2012 279 10  5 1100   -1.7  972.4    7.8  258.0   94.0  444.0
2012 279 10  5 1200   -1.4  972.0    7.1  248.0   90.1  444.0
2012 279 10  5 1300   -1.1  972.0    9.4  260.0   90.0  444.0
2012 279 10  5 1400   -1.3  972.1    9.0  266.0   91.0  444.0
2012 279 10  5 1500   -1.5  972.1    9.5  264.0   90.8  444.0
2012 279 10  5 1600   -1.5  972.5   10.2  268.0   90.1  444.0
2012 279 10  5 1700   -1.3  972.9    9.2  265.0   89.0  444.0
