Year: 2012  Month: 04  ID: PGN  ARGOS:  8937  Name: Pegasus North       
Lat: 77.96S  Lon: 166.51E  Elev:    8m
2012  92  4  1 0000  -13.5  997.0   10.3  183.0   85.6  444.0
2012  92  4  1 0100  -13.5  997.6   12.2  175.0   79.7  444.0
2012  92  4  1 0200  -13.4  998.3   10.5  187.0   70.4  444.0
2012  92  4  1 0300  -12.9  998.6   10.8  190.0   69.0  444.0
2012  92  4  1 0400  -13.1  998.7    8.7  167.0   69.6  444.0
2012  92  4  1 0500  -12.9  999.1    4.8  173.0   65.4  444.0
2012  92  4  1 0600  -12.9  999.3    4.5  174.0   62.0  444.0
2012  92  4  1 0700  -14.9  999.1    2.7  107.0   72.8  444.0
2012  92  4  1 0800  -15.8  999.1    2.4   65.0   76.0  444.0
2012  92  4  1 0900  -16.4  999.1    1.9   54.0   73.2  444.0
2012  92  4  1 1000  -16.6  999.7    2.4  154.0   79.5  444.0
2012  92  4  1 1100  -17.1  999.5    1.7  268.0   84.7  444.0
2012  92  4  1 1200  -17.6  999.5    1.0  285.0   85.7  444.0
2012  92  4  1 1300  -16.0  999.5    1.6   12.0   84.3  444.0
2012  92  4  1 1400  -16.5  999.4    2.3   43.0   79.8  444.0
2012  92  4  1 1500  -16.4  999.3    2.2   49.0   82.2  444.0
2012  92  4  1 1600  -16.3  999.0    1.1   14.0   82.0  444.0
2012  92  4  1 1700  -17.6  998.9    1.9  179.0   87.0  444.0
2012  92  4  1 1800  -17.2  998.6    0.5  260.0   89.1  444.0
2012  92  4  1 1900  -17.3  998.7    1.1  302.0   87.0  444.0
2012  92  4  1 2000  -16.5  998.6    3.2  195.0   83.6  444.0
2012  92  4  1 2100  -18.0  998.7    0.9  188.0   86.0  444.0
2012  92  4  1 2200  -17.0  998.8    3.7  190.0   73.8  444.0
2012  92  4  1 2300  -17.0  998.8    2.9  180.0   68.2  444.0
2012  93  4  2 0000  -16.9  998.9    3.4  190.0   60.6  444.0
2012  93  4  2 0100  -22.5  999.3    3.5   79.0   76.8  444.0
2012  93  4  2 0200  -21.5  999.4    5.2   49.0   79.4  444.0
2012  93  4  2 0300  -19.7  999.5    3.8   55.0   80.0  444.0
2012  93  4  2 0400  -20.3  999.4    3.6   59.0   80.0  444.0
2012  93  4  2 0500  -21.2  999.6    0.8   93.0   78.0  444.0
2012  93  4  2 0600  -20.7  999.8    2.7   59.0  444.0  444.0
2012  93  4  2 0700  -20.0  999.9    3.9   51.0   80.6  444.0
2012  93  4  2 0800  -20.6 1000.2    3.4   44.0   80.0  444.0
2012  93  4  2 0900  -20.6 1000.4    3.9   48.0   78.5  444.0
2012  93  4  2 1000  -21.2 1000.5    4.6   56.0   81.0  444.0
2012  93  4  2 1100  -22.0 1000.4    7.5   46.0   81.0  444.0
2012  93  4  2 1200  -23.6 1000.9    5.9   54.0   81.0  444.0
2012  93  4  2 1300  -24.7 1001.2    4.7   54.0   79.1  444.0
2012  93  4  2 1400  -24.6 1001.3    5.0   52.0   80.0  444.0
2012  93  4  2 1500  -24.7 1001.4    5.3   50.0   80.0  444.0
2012  93  4  2 1600  -25.4 1001.3    5.1   54.0   80.0  444.0
2012  93  4  2 1700  -26.2 1001.7    4.4   71.0   77.0  444.0
2012  93  4  2 1800  -25.5 1001.9    3.9   67.0   77.4  444.0
2012  93  4  2 1900  -25.0 1002.3    4.6   70.0   77.0  444.0
2012  93  4  2 2000  -24.2 1002.4    3.3   64.0   74.0  444.0
2012  93  4  2 2100  -25.5 1002.8    3.4  129.0   75.1  444.0
2012  93  4  2 2200  -26.8 1002.9    3.2  113.0   76.0  444.0
2012  93  4  2 2300  -27.0 1003.1    4.4   97.0  444.0  444.0
2012  94  4  3 0000  -25.3 1003.3    4.5   81.0   75.8  444.0
2012  94  4  3 0100  -23.6 1003.7    5.5   72.0   73.9  444.0
2012  94  4  3 0200  -23.4 1004.0    5.7   65.0   73.3  444.0
2012  94  4  3 0300  -23.5 1004.1    7.0   67.0   73.3  444.0
2012  94  4  3 0400  -23.2 1004.1    6.6   58.0  444.0  444.0
2012  94  4  3 0500  -22.7 1004.1    7.9   62.0   74.7  444.0
2012  94  4  3 0600  -23.2 1004.4    8.7   61.0   72.0  444.0
2012  94  4  3 0700  -23.6 1004.5    9.2   69.0   75.0  444.0
2012  94  4  3 0800  -23.5 1004.4    9.2   61.0   75.1  444.0
2012  94  4  3 0900  -24.8 1004.6   10.8   66.0   76.1  444.0
2012  94  4  3 1000  -24.6 1005.2   10.1   70.0   74.0  444.0
2012  94  4  3 1100  -24.7 1005.1    9.1   80.0   72.0  444.0
2012  94  4  3 1200  -24.7 1005.3    8.7   79.0   72.7  444.0
2012  94  4  3 1300  -25.1 1005.2    9.7   76.0   74.3  444.0
2012  94  4  3 1400  -25.1 1005.5    8.0   75.0   71.0  444.0
2012  94  4  3 1500  -25.2 1005.0    9.0   73.0   67.0  444.0
2012  94  4  3 1600  -25.3 1005.4    8.1   72.0   69.4  444.0
2012  94  4  3 1700  -25.6 1005.5    8.7   83.0   73.8  444.0
2012  94  4  3 1800  -25.3 1005.3    8.1   69.0   70.0  444.0
2012  94  4  3 1900  -25.7 1005.2    7.4   78.0   73.0  444.0
2012  94  4  3 2000  -25.6 1005.4    5.7   88.0   74.0  444.0
2012  94  4  3 2100  -25.7 1005.3    7.2   79.0   76.6  444.0
2012  94  4  3 2200  -26.3 1005.5    7.7   68.0   78.0  444.0
2012  94  4  3 2300  -25.1 1005.6    7.0   58.0   78.5  444.0
2012  95  4  4 0000  -24.7 1005.9    7.6   69.0   76.4  444.0
2012  95  4  4 0100  -24.8 1006.0    5.4   88.0   72.0  444.0
2012  95  4  4 0200  -25.4 1006.1    5.7   82.0   72.0  444.0
2012  95  4  4 0300  -24.8 1005.7    7.0   71.0   73.8  444.0
2012  95  4  4 0400  -24.8 1005.5    7.4   71.0   74.0  444.0
2012  95  4  4 0500  -24.9 1005.8    6.5   81.0   68.0  444.0
2012  95  4  4 0600  -25.0 1005.5    5.8   89.0   66.4  444.0
2012  95  4  4 0700  -25.7 1005.2    4.2   98.0   68.0  444.0
2012  95  4  4 0800  -26.4 1005.3    3.6   93.0   68.0  444.0
2012  95  4  4 0900  -27.1 1005.2    4.7   93.0   65.2  444.0
2012  95  4  4 1000  -27.7 1005.2    3.7  109.0   66.6  444.0
2012  95  4  4 1100  -26.9 1005.0    2.9   95.0   67.7  444.0
2012  95  4  4 1200  -28.2 1004.7    4.0   92.0   71.0  444.0
2012  95  4  4 1300  -29.1 1004.5    4.0   89.0   70.0  444.0
2012  95  4  4 1400  -30.0 1004.4    4.1   79.0   72.0  444.0
2012  95  4  4 1500  -30.2 1004.3    2.7   95.0   71.6  444.0
2012  95  4  4 1600  -28.9 1004.1    3.8  110.0   71.7  444.0
2012  95  4  4 1700  -28.5 1003.7    2.8  111.0   70.0  444.0
2012  95  4  4 1800  -30.4 1003.5    2.1  118.0   72.1  444.0
2012  95  4  4 1900  -28.7 1003.3    4.2   77.0   70.0  444.0
2012  95  4  4 2000  -30.9 1003.1    3.4   93.0   70.7  444.0
2012  95  4  4 2100  -31.3 1002.7    4.2   81.0   70.0  444.0
2012  95  4  4 2200  -29.2 1002.5    4.6   73.0   64.0  444.0
2012  95  4  4 2300  -29.7 1002.1    3.4   84.0   64.0  444.0
2012  96  4  5 0000  -30.8 1001.4    3.7   99.0   61.0  444.0
2012  96  4  5 0100  -29.7 1000.7    5.1   89.0   55.7  444.0
2012  96  4  5 0200  -31.2 1000.2    4.8   80.0   57.8  444.0
2012  96  4  5 0300  -31.8  999.8    7.1   60.0   61.5  444.0
2012  96  4  5 0400  -32.8  999.6    6.0   75.0   63.0  444.0
2012  96  4  5 0500  -32.9  999.3    5.3   75.0   63.4  444.0
2012  96  4  5 0600  -32.3  999.2    5.8   64.0   61.7  444.0
2012  96  4  5 0700  -33.1  999.3    5.6   60.0   62.2  444.0
2012  96  4  5 0800  -32.6  999.7    5.0   61.0   63.0  444.0
2012  96  4  5 0900  -33.1  999.8    4.9   51.0   61.5  444.0
2012  96  4  5 1000  -33.7 1000.2    4.4   52.0   63.1  444.0
2012  96  4  5 1100  -35.0 1000.0    3.7   52.0   63.3  444.0
2012  96  4  5 1200  -35.6  999.8    2.1   65.0   63.3  444.0
2012  96  4  5 1300  -36.7  999.7    2.5  127.0   62.2  444.0
2012  96  4  5 1400  -37.0  999.6    2.4  111.0   67.5  444.0
2012  96  4  5 1500  -33.7  999.5    3.9   90.0   66.0  444.0
2012  96  4  5 1600  -32.1  999.7    2.7   67.0   70.0  444.0
2012  96  4  5 1700  -29.3  999.7    3.3   78.0   66.6  444.0
2012  96  4  5 1800  -29.9  999.8    2.3  108.0   66.1  444.0
2012  96  4  5 1900  -28.9  999.9    2.9   67.0   66.4  444.0
2012  96  4  5 2000  -28.8  999.5    6.4   52.0   66.0  444.0
2012  96  4  5 2100  -29.0  999.5    2.6   84.0   63.9  444.0
2012  96  4  5 2200  -28.8  999.2    2.6   89.0   66.8  444.0
2012  96  4  5 2300  -28.3  999.0    3.4   82.0   66.3  444.0
2012  97  4  6 0000  -28.1  998.7    3.0   85.0   66.4  444.0
2012  97  4  6 0100  -28.1  998.5    4.7   62.0   66.0  444.0
2012  97  4  6 0200  -28.3  998.0    4.5   88.0   64.7  444.0
2012  97  4  6 0300  -28.4  997.7    5.2   95.0   65.0  444.0
2012  97  4  6 0400  -28.8  997.6    6.3   93.0   67.0  444.0
2012  97  4  6 0500  -29.2  997.3    5.3   70.0   68.0  444.0
2012  97  4  6 0600  -29.1  997.4    4.8   80.0   67.1  444.0
2012  97  4  6 0700  -29.8  997.1    5.0   70.0   65.4  444.0
2012  97  4  6 0800  -29.5  997.0    6.8   57.0   64.0  444.0
2012  97  4  6 0900  -29.9  996.7    7.9   57.0   63.0  444.0
2012  97  4  6 1000  -30.5  996.5    7.8   61.0   62.0  444.0
2012  97  4  6 1100  -31.2  996.3    7.0   74.0   60.1  444.0
2012  97  4  6 1200  -32.1  995.9    6.6   87.0   58.8  444.0
2012  97  4  6 1300  -32.2  996.0    5.4  103.0   58.2  444.0
2012  97  4  6 1400  -32.5  995.6    6.1   81.0   59.0  444.0
2012  97  4  6 1500  -31.5  995.4    7.9   61.0   61.0  444.0
2012  97  4  6 1600  -32.0  995.3    7.7   66.0   56.3  444.0
2012  97  4  6 1700  -33.0  995.1    8.3   60.0   56.9  444.0
2012  97  4  6 1800  -32.1  994.9    8.2   57.0   55.1  444.0
2012  97  4  6 1900  -30.9  995.0    6.8   77.0  444.0  444.0
2012  97  4  6 2000  -33.9  995.8    7.2  100.0   56.0  444.0
2012  97  4  6 2100  -33.0  995.7    5.6   83.0   63.5  444.0
2012  97  4  6 2200  -32.0  995.9    7.1   75.0   64.1  444.0
2012  97  4  6 2300  -34.2  996.1    6.4   79.0   58.8  444.0
2012  98  4  7 0000  -35.0  996.2    5.0   84.0   59.0  444.0
2012  98  4  7 0100  -35.8  996.3    3.7   70.0   57.2  444.0
