Year: 2013  Month: 07  ID: CHA  ARGOS: 28338  Name: Cape Hallett        
Lat: 72.19S  Lon: 170.17E  Elev:    1m
2013 182  7  1 0000  -16.5  994.5    6.4  138.0   73.0  444.0
2013 182  7  1 0100  -16.6  994.8    5.1  151.0   70.0  444.0
2013 182  7  1 0200  -16.5  994.8    3.5  141.0   59.7  444.0
2013 182  7  1 0300  -16.6  995.0    2.6   82.0   68.5  444.0
2013 182  7  1 0400  -16.7  995.0    2.7   87.0   69.0  444.0
2013 182  7  1 0500  -16.7  995.1    0.8  127.0   71.0  444.0
2013 182  7  1 0600  -16.6  995.2    0.7  233.0   60.8  444.0
2013 182  7  1 0700  -16.4  995.0    0.8  283.0   58.0  444.0
2013 182  7  1 0800  -16.5  995.2    2.9   98.0   62.2  444.0
2013 182  7  1 0900  -16.6  995.5    2.7   73.0   57.9  444.0
2013 182  7  1 1000  -16.3  996.0    0.8  117.0   62.9  444.0
2013 182  7  1 1100  -16.6  996.1    4.0  133.0   60.2  444.0
2013 182  7  1 1200  -16.8  996.2    6.9  127.0   69.0  444.0
2013 182  7  1 1300  -16.6  996.6    2.9  140.0   61.0  444.0
2013 182  7  1 1400  -16.7  996.7    0.3   58.0   66.0  444.0
2013 182  7  1 1500  -16.8  997.1    4.9  127.0   67.0  444.0
2013 182  7  1 1600  -17.7  997.9    0.8  271.0   63.8  444.0
2013 182  7  1 1700  -17.8  998.0    0.9  351.0   62.0  444.0
2013 182  7  1 1800  -17.5  998.2    1.8  116.0   66.0  444.0
2013 182  7  1 1900  -18.0  998.4    1.0   21.0   70.1  444.0
2013 182  7  1 2000  -18.3  998.8    0.0    0.0   72.1  444.0
2013 182  7  1 2100  -18.7  999.1    0.9  143.0   70.1  444.0
2013 182  7  1 2200  -19.0  999.4    2.6   31.0   69.0  444.0
2013 182  7  1 2300  -18.8  999.7    4.3  126.0   67.0  444.0
2013 183  7  2 0000  -19.4  999.7    1.1   47.0   67.2  444.0
2013 183  7  2 0100  -20.5  999.5    1.6  204.0   71.8  444.0
2013 183  7  2 0200  -20.4  999.0    0.8   76.0   66.6  444.0
2013 183  7  2 0300  -20.0  998.9    2.3   40.0   66.0  444.0
2013 183  7  2 0400  -20.5  998.9    3.1   31.0   66.0  444.0
2013 183  7  2 0500  -19.9  999.3    2.0    7.0   65.0  444.0
2013 183  7  2 0600  -19.4  999.7    1.5  297.0   59.0  444.0
2013 183  7  2 0700  -19.9 1000.1    1.8   57.0   61.1  444.0
2013 183  7  2 0800  -19.9 1000.1    3.7   68.0   65.0  444.0
2013 183  7  2 0900  -20.2 1000.2    5.2   58.0   69.0  444.0
2013 183  7  2 1000  -20.1 1000.5    2.2   87.0   68.0  444.0
2013 183  7  2 1100  -19.4 1000.6    4.1  104.0   65.0  444.0
2013 183  7  2 1200  -19.9 1001.2    2.7   57.0   72.1  444.0
2013 183  7  2 1300  -20.2 1001.1    1.3  355.0   77.2  444.0
2013 183  7  2 1400  -20.3 1001.1    0.1  160.0   74.0  444.0
2013 183  7  2 1500  -20.4 1001.4    2.3  235.0   74.0  444.0
2013 183  7  2 1600  -20.8 1001.0    2.2  239.0   72.0  444.0
2013 183  7  2 1700  -21.0 1001.1    0.9  177.0   74.4  444.0
2013 183  7  2 1800  -20.6 1001.1    1.5  357.0   70.0  444.0
2013 183  7  2 1900  -20.6 1000.9    1.4   53.0   70.9  444.0
2013 183  7  2 2000  -21.0 1001.0    0.4   52.0   74.0  444.0
2013 183  7  2 2100  -21.0 1001.0    2.1   73.0   74.0  444.0
2013 183  7  2 2200  -21.3 1001.2    0.1  163.0   72.5  444.0
2013 183  7  2 2300  -21.5 1001.2    2.3   83.0   71.0  444.0
2013 184  7  3 0000  -21.5 1000.8    2.1   76.0   69.5  444.0
2013 184  7  3 0100  -22.0 1000.4    3.1   57.0   74.0  444.0
2013 184  7  3 0200  -21.8 1000.1    2.0   70.0   72.0  444.0
2013 184  7  3 0300  -22.4 1000.0    2.1   47.0   74.5  444.0
2013 184  7  3 0400  -23.0  999.6    0.1  150.0   74.0  444.0
2013 184  7  3 0500  -23.2  999.5    0.2  312.0   78.0  444.0
2013 184  7  3 0600  -23.6  999.0    0.0    0.0   79.6  444.0
2013 184  7  3 0700  -23.3  998.7    0.0    0.0   79.0  444.0
2013 184  7  3 0800  -24.8  998.5    0.0    0.0   78.0  444.0
2013 184  7  3 0900  -24.8  997.9    0.1  191.0   80.0  444.0
2013 184  7  3 1000  -24.3  997.6    0.0    0.0   80.0  444.0
2013 184  7  3 1100  -24.3  997.2    0.8  186.0   79.0  444.0
2013 184  7  3 1200  -23.8  996.8    1.7  140.0   74.0  444.0
2013 184  7  3 1300  -27.8  996.3    0.3  252.0   77.0  444.0
2013 184  7  3 1400  -26.8  995.6    0.0    0.0   77.0  444.0
2013 184  7  3 1500  -26.9  995.1    0.0    0.0   77.0  444.0
2013 184  7  3 1600  -25.7  994.6    0.0    0.0   78.0  444.0
2013 184  7  3 1700  -27.7  994.1    0.1  311.0   75.8  444.0
2013 184  7  3 1800  -28.1  993.0    0.7  236.0   77.0  444.0
2013 184  7  3 1900  -29.3  992.5    0.0    0.0   75.0  444.0
2013 184  7  3 2000  -29.3  992.1    0.0    0.0   77.0  444.0
2013 184  7  3 2100  -29.3  991.6    0.5  248.0   77.0  444.0
2013 184  7  3 2200  -28.6  991.0    1.1  208.0   77.1  444.0
2013 184  7  3 2300  -29.8  990.5    1.5  226.0   75.0  444.0
2013 185  7  4 0000  -28.8  989.7    0.8  234.0   74.0  444.0
2013 185  7  4 0100  -26.9  988.9    1.2  225.0   75.6  444.0
2013 185  7  4 0200  -26.8  988.0    0.0    0.0   73.0  444.0
2013 185  7  4 0300  -28.9  987.2    0.2  151.0   76.0  444.0
2013 185  7  4 0400  -28.8  987.1    0.0    0.0   72.9  444.0
2013 185  7  4 0500  -28.3  986.5    1.5  206.0   73.0  444.0
2013 185  7  4 0600  -29.1  986.0    1.6  220.0   76.0  444.0
2013 185  7  4 0700  -29.6  986.1    0.0    0.0   73.0  444.0
2013 185  7  4 0800  -29.4  986.1    0.0    0.0   74.0  444.0
2013 185  7  4 0900  -30.4  986.2    0.2  213.0   74.0  444.0
2013 185  7  4 1000  -29.6  986.2    0.3  200.0   74.1  444.0
2013 185  7  4 1100  -30.9  987.0    0.1  222.0   74.0  444.0
2013 185  7  4 1200  -29.9  987.5    1.3  218.0   73.0  444.0
2013 185  7  4 1300  -28.5  988.0    0.7  218.0   74.0  444.0
2013 185  7  4 1400  -27.8  988.6    0.3  275.0   74.0  444.0
2013 185  7  4 1500  -27.9  989.4    1.0  221.0   73.3  444.0
