Year: 2016  Month: 08  ID: CBD  ARGOS: 99504  Name: Cape Bird           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2016 214  8  1 0000  -27.8 1004.0  444.0  444.0   32.1  444.0
2016 214  8  1 0100  -26.7 1001.4  444.0  444.0   27.3  444.0
2016 214  8  1 0200  -28.7  997.0  444.0  444.0   48.3  444.0
2016 214  8  1 0300  -31.4  994.0  444.0  444.0   56.6  444.0
2016 214  8  1 0400  -25.6  989.4  444.0  444.0   39.9  444.0
2016 214  8  1 0500  -20.2  988.2  444.0  444.0   32.0  444.0
2016 214  8  1 0600  -25.8  988.7  444.0  444.0   46.9  444.0
2016 214  8  1 0700  -27.4  989.4  444.0  444.0   58.4  444.0
2016 214  8  1 0800  -30.0  991.0  444.0  444.0   54.5  444.0
2016 214  8  1 0900  -30.2  991.0  444.0  444.0   50.6  444.0
2016 214  8  1 1000  -29.3  992.3  444.0  444.0   54.2  444.0
2016 214  8  1 1100  -30.7  993.6  444.0  444.0   59.0  444.0
2016 214  8  1 1200  -29.3  993.6  444.0  444.0   56.9  444.0
2016 214  8  1 1300  -29.9  994.4  444.0  444.0   58.8  444.0
2016 214  8  1 1400  -29.3  994.6  444.0  444.0   57.2  444.0
2016 214  8  1 1500  -28.7  994.0  444.0  444.0   57.9  444.0
2016 214  8  1 1600  -28.7  993.9  444.0  444.0   60.8  444.0
2016 214  8  1 1700  -25.6  992.9  444.0  444.0   54.9  444.0
2016 214  8  1 1800  -28.0  992.6  444.0  444.0   65.0  444.0
2016 214  8  1 1900  -28.5  992.6  444.0  444.0   62.6  444.0
2016 214  8  1 2000  -28.1  992.0  444.0  444.0   64.6  444.0
2016 214  8  1 2100  -28.8  991.3  444.0  444.0   66.2  444.0
2016 214  8  1 2200  -29.3  991.5  444.0  444.0   67.2  444.0
2016 214  8  1 2300  -28.9  991.2  444.0  444.0   65.5  444.0
2016 215  8  2 0000  -29.7  991.2  444.0  444.0   62.0  444.0
2016 215  8  2 0100  -29.2  990.8  444.0  444.0   66.9  444.0
2016 215  8  2 0200  -30.0  991.5  444.0  444.0   69.3  444.0
2016 215  8  2 0300  -27.1  991.8  444.0  444.0   59.6  444.0
2016 215  8  2 0400  -29.6  992.1  444.0  444.0   70.6  444.0
2016 215  8  2 0500  -29.2  992.2  444.0  444.0   67.4  444.0
