Year: 2016  Month: 11  ID: CBD  ARGOS:  9504  Name: CAPE BIRD           
Lat: 77.22S  Lon: 166.44E  Elev:   38m
2016 306 11  1 0000  -20.3  982.8  444.0  444.0   67.8  444.0
2016 306 11  1 0100  -19.1  983.0  444.0  444.0   67.6  444.0
2016 306 11  1 0200  -17.7  983.3  444.0  444.0   69.0  444.0
2016 306 11  1 0300  -17.5  983.9  444.0  444.0   67.8  444.0
2016 306 11  1 0400  -17.2  984.1  444.0  444.0   68.8  444.0
2016 306 11  1 0500  -15.9  984.5  444.0  444.0   63.6  444.0
2016 306 11  1 0600  -15.3  984.6  444.0  444.0   57.9  444.0
2016 306 11  1 0700  -15.1  984.7  444.0  444.0   59.7  444.0
2016 306 11  1 0800  -18.2  985.2  444.0  444.0   62.9  444.0
2016 306 11  1 0900  -20.0  985.8  444.0  444.0   68.7  444.0
2016 306 11  1 1000  -17.0  986.2  444.0  444.0   35.8  444.0
2016 306 11  1 1100  -19.3  986.7  444.0  444.0   56.7  444.0
2016 306 11  1 1200  -16.6  987.1  444.0  444.0   30.8  444.0
2016 306 11  1 1300  -16.8  987.5  444.0  444.0   29.6  444.0
2016 306 11  1 1400  -17.0  987.9  444.0  444.0   29.0  444.0
2016 306 11  1 1500  -17.5  988.3  444.0  444.0   31.2  444.0
2016 306 11  1 1600  -17.3  988.7  444.0  444.0   29.0  444.0
2016 306 11  1 1700  -17.4  989.4  444.0  444.0   29.2  444.0
2016 306 11  1 1800  -17.6  990.0  444.0  444.0   37.0  444.0
2016 306 11  1 1900  -16.7  990.4  444.0  444.0   36.9  444.0
2016 306 11  1 2000  -16.2  991.2  444.0  444.0   42.9  444.0
2016 306 11  1 2100  -16.0  991.7  444.0  444.0   38.3  444.0
2016 306 11  1 2200  -16.5  992.7  444.0  444.0   51.3  444.0
2016 306 11  1 2300  -15.5  993.6  444.0  444.0   40.7  444.0
2016 307 11  2 0000  -14.9  994.5  444.0  444.0   35.5  444.0
2016 307 11  2 0100  -13.2  995.3  444.0  444.0   46.7  444.0
2016 307 11  2 0200  -13.1  995.9  444.0  444.0   39.4  444.0
2016 307 11  2 0300  -13.3  996.8  444.0  444.0   31.0  444.0
2016 307 11  2 0400  -12.3  997.3  444.0  444.0   28.3  444.0
2016 307 11  2 0500  -11.6  997.8  444.0  444.0   26.3  444.0
2016 307 11  2 0600  -12.1  998.4  444.0  444.0   27.2  444.0
2016 307 11  2 0700  -12.9  998.9  444.0  444.0   37.8  444.0
2016 307 11  2 0800  -13.0  999.4  444.0  444.0   48.8  444.0
2016 307 11  2 0900  -12.7  999.5  444.0  444.0   28.9  444.0
2016 307 11  2 1000  444.0  999.9  444.0  444.0   26.4  444.0
2016 307 11  2 1100  -13.2 1000.7  444.0  444.0   28.4  444.0
2016 307 11  2 1200  444.0 1001.4  444.0  444.0   26.2  444.0
2016 307 11  2 1300  -15.7 1002.1  444.0  444.0   32.7  444.0
