Year: 2016  Month: 11  ID: PGN  ARGOS:  9508  Name: PEGASUS NORTH       
Lat: 77.96S  Lon: 166.51E  Elev:    8m
2016 306 11  1 0000  444.0  987.7    4.4   59.9   53.2  444.0
2016 306 11  1 0100  444.0  987.9    3.0   44.0   56.7  444.0
2016 306 11  1 0200  444.0  988.0    2.3   36.8   56.9  444.0
2016 306 11  1 0300  444.0  988.3    1.3   88.3   34.2  444.0
2016 306 11  1 0400  444.0  988.4    0.5   66.6   29.2  444.0
2016 306 11  1 0500  444.0  988.7    0.3  319.7   32.0  444.0
2016 306 11  1 0600  444.0  988.8    2.2  320.2   65.0  444.0
2016 306 11  1 0700  444.0  989.0    2.4  315.3   68.3  444.0
2016 306 11  1 0800  444.0  989.3    2.7  319.0   73.0  444.0
2016 306 11  1 0900  444.0  989.7    1.3  318.5   71.3  444.0
2016 306 11  1 1000  444.0  990.2    1.4  268.1   75.2  444.0
2016 306 11  1 1100  444.0  990.4    0.6  347.1   74.7  444.0
2016 306 11  1 1200  444.0  991.0    1.2    1.5   80.3  444.0
2016 306 11  1 1300  444.0  991.5    0.8  347.9   85.9  444.0
2016 306 11  1 1400  444.0  991.7    1.4   32.4   84.5  444.0
2016 306 11  1 1500  444.0  992.2    0.4   97.1   82.2  444.0
2016 306 11  1 1600  444.0  992.7    0.5   47.8   79.3  444.0
2016 306 11  1 1700  444.0  993.4    0.8  240.8   69.2  444.0
2016 306 11  1 1800  444.0  993.9    2.2  149.6   69.9  444.0
2016 306 11  1 1900  444.0  994.6    2.0  186.2   45.6  444.0
2016 306 11  1 2000  444.0  995.5    1.0    9.9   41.5  444.0
2016 306 11  1 2100  444.0  996.1    0.3   73.3   30.4  444.0
2016 306 11  1 2200  444.0  997.1    1.0   28.9   35.8  444.0
2016 306 11  1 2300  444.0  997.9    1.7   11.5   50.4  444.0
2016 307 11  2 0000  444.0  998.9    1.3   67.5   55.8  444.0
2016 307 11  2 0100  444.0  999.7    2.6   31.2   58.9  444.0
2016 307 11  2 0200  444.0 1000.4    1.9   61.3   39.7  444.0
2016 307 11  2 0300  444.0 1001.1    2.1   67.0   37.8  444.0
2016 307 11  2 0400  444.0 1001.8    1.7   65.8   38.5  444.0
2016 307 11  2 0500  444.0 1002.6    2.1   46.1   49.8  444.0
2016 307 11  2 0600  444.0 1003.2    2.4   44.7   53.2  444.0
2016 307 11  2 0700  444.0 1003.7    2.6   47.7   58.1  444.0
2016 307 11  2 0800  444.0 1004.3    3.3   33.1   55.8  444.0
2016 307 11  2 0900  444.0 1005.2    2.7   31.0   57.0  444.0
2016 307 11  2 1000  444.0 1005.7    3.2   49.9   52.2  444.0
2016 307 11  2 1100  444.0 1006.5    3.0   42.0   53.4  444.0
2016 307 11  2 1200  444.0 1007.3    2.7   51.0   48.4  444.0
2016 307 11  2 1300  444.0 1007.8    3.1   46.0   57.5  444.0
2016 307 11  2 1400  444.0 1008.2    3.3   81.4   53.9  444.0
2016 307 11  2 1500  444.0 1008.7    2.4  102.4   56.9  444.0
2016 307 11  2 1600  444.0 1009.0    3.4   72.9   60.9  444.0
2016 307 11  2 1700  444.0 1009.6    1.4  141.3   53.5  444.0
2016 307 11  2 1800  444.0 1010.0    2.2   61.6   53.5  444.0
2016 307 11  2 1900  444.0 1010.3    2.5   72.2   42.0  444.0
2016 307 11  2 2000  444.0 1010.6    2.3   65.7   45.2  444.0
2016 307 11  2 2100  444.0 1010.6    2.3   78.5   39.4  444.0
2016 307 11  2 2200  444.0 1010.9    2.1  104.9   36.0  444.0
2016 307 11  2 2300  444.0 1010.9    2.0   84.0   38.1  444.0
2016 308 11  3 0000  444.0 1011.1    2.7   81.2   38.8  444.0
2016 308 11  3 0100  444.0 1010.9    2.3   90.2   37.3  444.0
2016 308 11  3 0200  444.0 1010.6    2.3   60.0   45.2  444.0
2016 308 11  3 0300  444.0 1010.5    1.7   65.6   38.4  444.0
2016 308 11  3 0400  444.0 1010.3    2.5   51.0   47.8  444.0
2016 308 11  3 0500  444.0 1010.1    2.0   49.7   50.6  444.0
2016 308 11  3 0600  444.0 1009.8    1.3   62.8   42.7  444.0
2016 308 11  3 0700  444.0 1009.6    1.7   37.0   59.9  444.0
2016 308 11  3 0800  444.0 1009.3    1.7   61.6   55.1  444.0
2016 308 11  3 0900  444.0 1008.9    1.2   33.7   63.6  444.0
2016 308 11  3 1000  444.0 1008.5    1.6   49.7   59.4  444.0
2016 308 11  3 1100  444.0 1008.1    1.4   40.3   64.0  444.0
2016 308 11  3 1200  444.0 1007.6    0.9  353.1   69.0  444.0
2016 308 11  3 1300  444.0 1007.0    1.1   27.6   74.8  444.0
2016 308 11  3 1400  444.0 1006.4    1.2   14.9   74.1  444.0
2016 308 11  3 1500  444.0 1005.6    2.6   31.8   76.7  444.0
2016 308 11  3 1600  444.0 1005.0    2.4   30.4   75.6  444.0
2016 308 11  3 1700  444.0 1004.4    2.9   35.2   75.4  444.0
2016 308 11  3 1800  444.0 1003.9    1.8   24.3   63.3  444.0
2016 308 11  3 1900  444.0 1003.1    1.1   39.9   55.2  444.0
2016 308 11  3 2000  444.0 1002.5    1.3  350.6   47.9  444.0
2016 308 11  3 2100  444.0 1001.7    1.9   24.6   52.5  444.0
2016 308 11  3 2200  444.0 1001.0    1.7    4.8   42.3  444.0
2016 308 11  3 2300  444.0 1000.4    1.9  336.7   54.6  444.0
2016 309 11  4 0000  444.0  999.9    1.0   11.2   47.3  444.0
2016 309 11  4 0100  444.0  999.2    0.0    0.0   19.6  444.0
2016 309 11  4 0200  444.0  998.2    0.2    5.0   19.4  444.0
2016 309 11  4 0300  444.0  997.4    0.2   81.3   25.6  444.0
2016 309 11  4 0400  444.0  996.7    1.8   35.0   64.2  444.0
2016 309 11  4 0500  444.0  996.1    1.8   54.5   55.4  444.0
2016 309 11  4 0600  444.0  995.6    3.1   44.2   63.0  444.0
2016 309 11  4 0700  444.0  995.3    2.6   42.3   63.2  444.0
2016 309 11  4 0800  444.0  994.9    2.1   50.4   62.1  444.0
2016 309 11  4 0900  444.0  994.7    2.2   61.0   62.1  444.0
2016 309 11  4 1000  444.0  994.3    2.2  112.5   67.9  444.0
2016 309 11  4 1100  444.0  994.4    2.7  109.8   70.0  444.0
2016 309 11  4 1200  444.0  994.4    3.0   76.1   78.0  444.0
2016 309 11  4 1300  444.0  994.5    3.6   61.8   79.6  444.0
2016 309 11  4 1400  444.0  994.6    2.7   30.9   82.4  444.0
2016 309 11  4 1500  444.0  994.8    2.6   33.0   81.5  444.0
2016 309 11  4 1600  444.0  995.1    1.4   55.3   83.3  444.0
2016 309 11  4 1700  444.0  995.3    2.3   41.9   82.8  444.0
2016 309 11  4 1800  444.0  995.6    1.3   55.0   83.4  444.0
2016 309 11  4 1900  444.0  995.6    2.6   37.6   76.2  444.0
2016 309 11  4 2000  444.0  996.1    1.9   60.8   66.4  444.0
2016 309 11  4 2100  444.0  996.0    3.1   26.7   72.5  444.0
2016 309 11  4 2200  444.0  996.3    1.4   28.2   56.4  444.0
2016 309 11  4 2300  444.0  996.2    2.7   28.8   49.4  444.0
2016 310 11  5 0000  444.0  996.2    1.6   59.5   44.1  444.0
2016 310 11  5 0100  444.0  996.4    1.5   10.4   47.0  444.0
2016 310 11  5 0200  444.0  996.5    1.6   23.9   48.9  444.0
2016 310 11  5 0300  444.0  996.5    0.8    1.0   33.5  444.0
2016 310 11  5 0400  444.0  996.6    0.6   64.1   29.5  444.0
2016 310 11  5 0500  444.0  996.9    0.2    8.4   30.2  444.0
2016 310 11  5 0600  444.0  997.0    0.7  351.4   34.4  444.0
2016 310 11  5 0700  444.0  997.1    1.8  344.4   35.1  444.0
2016 310 11  5 0800  444.0  997.7    1.9   73.3   43.8  444.0
