Year: 2016  Month: 11  ID: WDB  ARGOS:  9506  Name: WINDLESS BIGHT      
Lat: 77.72S  Lon: 167.70E  Elev:   40m
2016 306 11  1 0000  -23.4  982.7    1.6   62.5   73.4   -0.2
2016 306 11  1 0100  -23.2  983.4    2.3  344.7   72.1   -0.5
2016 306 11  1 0200  -22.9  982.7    1.7  312.7   72.0   -1.3
2016 306 11  1 0300  -23.4  983.0    2.4  270.2   72.0   -1.4
2016 306 11  1 0400  -19.4  983.2    2.5  244.6   73.4    3.0
2016 306 11  1 0500  -23.4  983.6    2.2   18.3   73.7    0.3
2016 306 11  1 0600  -23.4  984.3    2.0   30.1   71.7    0.7
2016 306 11  1 0700  -23.3  984.6    0.2   46.3   76.0    2.6
2016 306 11  1 0800  444.0  984.4    0.7  330.2   70.4    4.7
2016 306 11  1 0900  -22.2  984.6    0.2  321.4   70.5    5.8
2016 306 11  1 1000  -23.5  985.3    1.1  190.7   73.6    5.6
2016 306 11  1 1100  -25.3  986.0    1.2   33.5   78.2    5.9
2016 306 11  1 1200  444.0  986.4    0.7   29.5   68.6    9.6
2016 306 11  1 1300  -27.7  986.7    0.7  204.3   76.3    4.8
2016 306 11  1 1400  -26.3  987.4    0.7  177.4   74.0    7.4
2016 306 11  1 1500  -26.6  987.7    1.0   20.0   76.7    7.8
2016 306 11  1 1600  444.0  988.2    0.4  343.2   78.0   10.5
2016 306 11  1 1700  444.0  988.7    1.1   24.6   72.3    6.2
2016 306 11  1 1800  444.0  989.4    0.5  350.7   76.7    9.6
2016 306 11  1 1900  -25.3  990.0    1.6   21.6   70.8    4.3
2016 306 11  1 2000  -23.3  990.6    1.6    5.5   73.3    4.8
2016 306 11  1 2100  -23.8  991.2    1.3   23.3   71.6    2.3
2016 306 11  1 2200  -23.8  992.7    1.6   33.5   70.8    0.7
2016 306 11  1 2300  -19.0  993.0    1.2   13.4   72.6    1.5
2016 307 11  2 0000  -19.3  993.7    0.9   27.8   72.8    0.9
2016 307 11  2 0100  -18.9  994.8    1.4    2.1   70.5    0.3
2016 307 11  2 0200  -18.0  995.4    2.4    2.1   68.0    0.7
2016 307 11  2 0300  -19.4  995.9    1.9   17.0   69.6    0.3
2016 307 11  2 0400  444.0  996.8    0.6   87.7   62.9    1.6
2016 307 11  2 0500  444.0  997.6    0.3  262.2   56.1    2.4
2016 307 11  2 0600  444.0  997.9    0.7   73.5   51.5    3.8
2016 307 11  2 0700  444.0  998.6    0.2  183.3   51.9    6.3
2016 307 11  2 0800  -20.5  999.4    0.6   66.3   62.5    2.5
2016 307 11  2 0900  -18.5 1000.2    0.1  292.7   59.9    5.6
2016 307 11  2 1000  -19.1 1001.7    0.8   14.1   53.4    6.5
2016 307 11  2 1100  -20.2 1002.5    2.6    2.3   64.3    7.0
2016 307 11  2 1200  -23.7 1002.8    0.6   37.3   75.5    4.6
2016 307 11  2 1300  -20.9 1003.3    0.4   42.3   79.0    8.7
2016 307 11  2 1400  -21.3 1003.5    0.8   33.7   70.0    8.1
2016 307 11  2 1500  -23.6 1004.2    1.4  234.0   60.8    5.4
2016 307 11  2 1600  -23.4 1004.2    1.2   60.7   67.3    5.2
2016 307 11  2 1700  -23.6 1005.0    0.3  332.3   67.4    5.6
2016 307 11  2 1800  444.0 1005.6    0.9  317.0   66.0    7.4
2016 307 11  2 1900  -20.3 1006.0    1.8  346.4   61.7    5.8
2016 307 11  2 2000  -21.8 1006.0    1.9   14.7   65.5    2.9
2016 307 11  2 2100  444.0 1005.6    0.5   65.5   52.8    3.0
2016 307 11  2 2200  -20.2 1005.7    0.2   81.8   50.4    1.2
2016 307 11  2 2300  -19.7 1005.9    0.7  101.7   51.2   -0.0
2016 308 11  3 0000  -19.9 1005.9    1.7   36.7   61.0   -0.5
2016 308 11  3 0100  -18.5 1005.8    0.9   50.9   56.7    0.2
2016 308 11  3 0200  -17.1 1005.9    0.7   80.7   51.0    0.2
2016 308 11  3 0300  -17.7 1005.7    1.3  161.0   68.2    0.3
2016 308 11  3 0400  -16.4 1005.2    1.3   17.6   63.3    1.0
2016 308 11  3 0500  -18.4 1004.9    1.0   38.3   67.3   -0.1
2016 308 11  3 0600  -19.5 1004.6    1.7   54.3   69.1    0.4
2016 308 11  3 0700  -18.6 1004.3    0.9   38.4   63.6    1.9
2016 308 11  3 0800  -18.6 1004.5    0.0    0.0   66.2    2.7
2016 308 11  3 0900  -18.6 1004.1    0.4   23.9   66.1    3.5
2016 308 11  3 1000  -19.5 1003.6    1.2   12.7   65.1    4.5
2016 308 11  3 1100  -18.4 1003.3    1.1    7.6   67.1    6.8
2016 308 11  3 1200  -19.2 1002.7    0.0    0.0   72.9    6.9
2016 308 11  3 1300  -21.8 1002.3    1.4   42.8   78.2    6.5
2016 308 11  3 1400  -20.6 1001.9    1.2   16.5   81.2    7.5
2016 308 11  3 1500  -24.0 1001.0    1.5   43.2   80.5    4.3
2016 308 11  3 1600  -21.0 1000.4    1.0  177.6   80.0    7.5
2016 308 11  3 1700  444.0  999.8    1.1  175.7   74.8    9.2
2016 308 11  3 1800  -25.1  999.5    2.9   27.2   72.0    2.2
2016 308 11  3 1900  444.0  998.4    0.4  355.1   61.7    6.6
2016 308 11  3 2000  444.0  997.8    1.1   16.8   63.1    5.7
2016 308 11  3 2100  444.0  996.8    0.6   20.0   55.0    5.2
2016 308 11  3 2200  -16.9  995.9    1.9  339.4   61.7    2.9
2016 308 11  3 2300  -20.0  995.1    1.4   25.8   65.0   -0.4
2016 309 11  4 0000  444.0  994.6    0.0    0.0   57.4    1.5
2016 309 11  4 0100  -17.2  993.8    0.4  237.9   62.4    1.0
2016 309 11  4 0200  444.0  993.6    0.4   10.5   55.9    2.3
2016 309 11  4 0300  -17.4  992.8    1.1   50.9   61.5   -0.8
2016 309 11  4 0400  444.0  992.0    1.0   42.9   62.6    1.3
2016 309 11  4 0500  -16.8  991.3    1.6   21.9   66.1    0.5
2016 309 11  4 0600  444.0  990.6    1.6   25.6   61.8    2.8
2016 309 11  4 0700  -18.5  990.1    2.7   15.5   70.8    1.8
2016 309 11  4 0800  -21.8  990.0    1.5   45.9   73.3    0.9
2016 309 11  4 0900  444.0  990.4    1.1   18.2   71.2    5.1
2016 309 11  4 1000  444.0  989.9    1.6    7.8   76.2    6.4
2016 309 11  4 1100  -23.6  989.6    1.6  104.9   77.5    1.2
