Year,: 20,17,Mo,nth: 01,ID:,EML  A,RGOS:,8939  Na,me: Em,ilia
Lat:,78,48S,L,on: 173.,15E,Elev:,51m,,,
2017,1,1,1,0,-3,976.9,8.4,183,61,444
2017,1,1,1,100,-3.4,977,7.6,183,64.1,444
2017,1,1,1,200,-3.4,976.7,7.6,172,68.1,444
2017,1,1,1,300,-3.2,976.8,7.4,181,67.6,444
2017,1,1,1,400,-4.1,976.8,5.8,167,74.2,444
2017,1,1,1,500,-4.1,976.8,7,186,72.5,444
2017,1,1,1,600,-5.2,976.8,7,179,81.3,444
2017,1,1,1,700,-5.5,976.9,7.6,188,83.9,444
2017,1,1,1,800,-6.5,977,6.4,173,87.4,444
2017,1,1,1,900,-6.6,977,6,188,86.1,444
2017,1,1,1,1000,-7.1,976.9,6,198,87,444
2017,1,1,1,1100,-7.9,976.9,4.7,188,90.1,444
2017,1,1,1,1200,-8,976.9,5.8,187,91,444
2017,1,1,1,1300,-8.1,976.7,5.5,186,91.4,444
2017,1,1,1,1400,-8.6,976.5,4.9,190,91.4,444
2017,1,1,1,1500,-9.6,976.3,5.8,188,92.7,444
2017,1,1,1,1600,-9.1,976.2,6,190,92.3,444
2017,1,1,1,1700,-8.4,976.3,6.2,188,89.6,444
2017,1,1,1,1800,-7.8,976.2,6,190,85.2,444
2017,1,1,1,1900,-7.1,975.9,6.4,191,77.8,444
2017,1,1,1,2000,-6.8,975.9,8.2,181,75.6,444
2017,1,1,1,2100,-6.1,975.5,7.8,197,70.3,444
2017,1,1,1,2200,-5.8,975.4,7.6,190,68.1,444
2017,1,1,1,2300,-5.5,975.4,5.8,187,67.6,444
2017,2,1,2,0,-5.4,975,6.8,187,69.4,444
2017,2,1,2,100,-5.2,974.7,7.4,197,69.4,444
2017,2,1,2,200,-5.5,974.2,6.8,184,72.9,444
2017,2,1,2,300,-5.5,973.7,7.4,187,74.7,444
2017,2,1,2,400,-6.5,973.2,7.4,193,77.8,444
2017,2,1,2,500,-5.8,972.9,7.2,191,82.6,444
2017,2,1,2,600,-6.4,972.3,9,205,81.7,444
2017,2,1,2,700,-6.4,972.1,7.4,204,84.8,444
2017,2,1,2,800,-7.1,971.7,8.4,200,86.6,444
2017,2,1,2,900,-7.1,971.2,7,218,90.5,444
2017,2,1,2,1000,-7.6,970.5,9.4,221,92.7,444
2017,2,1,2,1100,-8.2,969.5,8.8,218,93.6,444
2017,2,1,2,1200,-8.5,968.9,9.6,224,94,444
2017,2,1,2,1300,-8.1,968,9.9,222,93.2,444
2017,2,1,2,1400,-8.2,967.5,7.8,231,91.8,444
2017,2,1,2,1500,-8.9,966.7,7,235,90.1,444
2017,2,1,2,1600,-8.5,965.5,7.6,229,87.9,444
2017,2,1,2,1700,-8.4,964.6,8.4,226,88.3,444
2017,2,1,2,1800,-7.8,963.7,9.4,226,86.6,444
2017,2,1,2,1900,-7,963,9.2,224,80.8,444
