Month,MinTemp,MaxTemp,MeanTemp,MeanWindSpeed,MeanPressure,sitename
2009_1,-10.9,4.9,-2.9,6.7,977,Henry
2009_2,-20.9,2.9,-11.5,10.1,981.7,Henry
2009_3,-31.1,-10.1,-20.1,14.8,978.3,Henry
2009_4,-31.6,-8.9,-23,10.2,980.2,Henry
2009_5,-35.1,-13.8,-24.9,,986.3,Henry
2009_6,-36.5,-10.6,-24.6,,987.1,Henry
2009_7,-35.2,1.4,-23.1,,986.7,Henry
2009_8,-37.2,-16.8,-25.2,,984.3,Henry
2009_9,-36.5,-11,-25.3,,979.6,Henry
2009_10,-35.9,-11.8,-21.6,,973.5,Henry
2009_11,-20.9,0.8,-9.3,,980.2,Henry
2009_12,-10,4.1,-3.3,,978.5,Henry
2010_1,-11.2,5.5,-3.5,,991.1,Henry
2010_2,-20,-0.9,-10.5,,986.4,Henry
2010_3,-31,-5.2,-17.6,,981.1,Henry
2010_4,-33,-15.8,-24.4,,978,Henry
2010_5,-38.4,-17.9,-26.9,,978.9,Henry
2010_6,-36.2,-18.8,-28.7,,974.2,Henry
2010_7,-38.6,-18.9,-29.6,,966.2,Henry
2010_8,-38.2,-15,-26.9,,969.6,Henry
2010_9,-36.1,-18.2,-27.3,,976.9,Henry
2010_10,-31.4,-6.2,-19.2,,972,Henry
2010_11,-18.4,1.4,-9.5,,971,Henry
2010_12,-11.1,7.9,-1.9,,984.8,Henry
2011_1,-9.1,4.6,-3.1,,986.4,Henry
2011_2,-17.6,-0.2,-9.3,,980.8,Henry
2011_3,-28.8,-8.4,-19.2,,985.9,Henry
2011_4,-37,-5,-22.5,,984.9,Henry
2011_5,-38.6,-10,-25.4,,975.4,Henry
2011_6,-35.6,-12.1,-24.3,,983.3,Henry
2011_7,-35.4,-10.2,-23.5,,981.3,Henry
2011_8,-37.8,-7.6,-22.5,,983.7,Henry
2011_9,-35.8,-11.1,-22.6,,985.3,Henry
2011_10,,,,,,Henry
2011_11,,,,,,Henry
2011_12,,,,,,Henry
2012_1,,,,,,Henry
2012_2,-20.1,1.3,-10.2,15.3,982.6,Henry
2012_3,-26.6,-8.6,-18.9,16.8,979.1,Henry
2012_4,-33.1,-14.2,-25,19.1,977.9,Henry
2012_5,,,-21.6,18.5,975.4,Henry
2012_6,-38.2,-8.6,-23.6,18.6,987.1,Henry
2012_7,-35.7,-16.6,-27.8,18.2,975.6,Henry
2012_8,-31.9,-12.4,-23.3,17.8,978.3,Henry
2012_9,-35.2,-17,-24.6,16.8,975.8,Henry
2012_10,-26.1,-11.6,-19,13.3,974.7,Henry
2012_11,-19,-1.3,-9.3,8.3,983.9,Henry
2012_12,-8.5,6.2,-1.7,3.9,983.9,Henry
2013_1,-10.5,3.7,-2.8,7.4,981.4,Henry
2013_2,-22.8,-1,-11.9,13.3,973.7,Henry
2013_3,-32.1,-8.3,-18.8,18.3,972,Henry
2013_4,-35,-13.2,-25.4,17.8,979.6,Henry
2013_5,-34.5,-13.2,-23.4,17.2,979.6,Henry
2013_6,-39.6,-13.7,-24.5,15.9,990.5,Henry
2013_7,-37,-16.6,-29.1,17.1,976,Henry
2013_8,-35.8,-12.1,-25.8,16.3,986.8,Henry
2013_9,-32.5,-10.1,-22,17.7,985.9,Henry
2013_10,-27.7,-10.3,-18.4,11.8,978.2,Henry
2013_11,-21.2,1.6,-8.8,7.8,976,Henry
2013_12,-7.7,3.8,-1.2,9.5,979.9,Henry
2014_1,-10.5,7.3,-1.3,8,983.9,Henry
2014_2,-20.5,-0.9,-10.6,17.3,978.2,Henry
2014_3,-29.3,-10.9,-20.1,20.7,976.8,Henry
2014_4,-34.7,-9.4,-22.9,24.4,974.5,Henry
2014_5,-32.9,-9.4,-21,17.2,978.7,Henry
2014_6,-34.8,-16.1,-26.1,18.9,976.8,Henry
2014_7,-36.3,-11.1,-27.9,20.1,977.8,Henry
2014_8,-34.8,-8.8,-23.6,18,969.3,Henry
2014_9,-30.5,-9.8,-22.1,20,979,Henry
2014_10,-30.6,-5.4,-16.9,14.8,967.5,Henry
2014_11,-17.5,-2.2,-9.3,10,979.6,Henry
2014_12,-10.8,3.6,-3.2,7.9,977.2,Henry
2015_1,-10.2,3.9,-3.2,7.5,979.6,Henry
2015_2,-19,-2.2,-8.8,13.3,972.8,Henry
2015_3,-27.4,-8,-18.2,18.9,976.8,Henry
2015_4,-33.8,-13.2,-24.9,18,975.2,Henry
2015_5,-32.6,-14.9,-25.2,18.5,979.8,Henry
2015_6,-33.4,-13.1,-25.8,18.2,980,Henry
2015_7,-36.8,-11.1,-27.3,19.8,970.5,Henry
2015_8,-39.6,-14.5,-26.1,19.2,971.8,Henry
2015_9,-36.3,-6.6,-26.5,17.9,970.5,Henry
2015_10,-26.6,-11,-17.2,12.2,973.6,Henry
2015_11,-23.2,-0.5,-10.2,11.7,971.5,Henry
2015_12,-8.5,4.5,-2.1,8.9,980.4,Henry
2016_1,-9.2,4.3,-2.4,6.3,974.3,Henry
2016_2,-18.4,0.2,-10.3,15.3,976,Henry
2016_3,-27.7,-10.7,-19.7,20.9,973,Henry
2016_4,-34.3,-14.7,-26.1,18.6,979.5,Henry
2016_5,-32.9,-10.1,-22.7,20.4,978.2,Henry
2016_6,-36.4,-11,-27.3,19.1,972.3,Henry
2016_7,-35.2,-16.8,-26.7,16.4,982.3,Henry
2016_8,-32.2,-7.6,-24.5,16.9,983.7,Henry
2016_9,-34.3,-14.9,-24.7,19.7,966.7,Henry
2016_10,-28.5,-10.6,-19.8,17.2,973.8,Henry
2016_11,-16.2,1.2,-7.1,13.9,985.8,Henry
2016_12,-8.6,2.8,-2.3,7.1,983.3,Henry
2009_1,-24.0,-2.0,-13.3,4.8,812.9, Byrd
2009_2,-37.9,-3.9,-20.0,5.0,813.5, Byrd
2009_3,-48.6,-5.9,-23.9,6.9,808.4, Byrd
2009_4,-43.2,-10.2,-27.5,,814.8, Byrd
2009_5,-50.6,-15.4,-32.5,,809.6, Byrd
2009_6,-56.6,-17.1,-33.6,,811.2, Byrd
2009_7,-45.6,-11.2,-26.1,7.4,815.2, Byrd
2009_8,-55.0,-14.9,-33.1,8.8,807.7, Byrd
2009_9,-55.1,-16.0,-35.6,,801.4, Byrd
2009_10,-47.8,-17.1,-30.2,,801.2, Byrd
2009_11,-38.9,-3.2,-15.8,,816.4, Byrd
2009_12,-21.9,-1.0,-11.0,,814.3, Byrd
2010_1,-25.1,-2.8,-13.1,1.5,823.9, Byrd
2010_2,-29.1,-9.2,-17.7,5.5,819.1, Byrd
2010_3,-41.1,-10.5,-21.3,6.2,810.4, Byrd
2010_4,-43.9,-14.8,-29.2,7.5,807.7, Byrd
2010_5,-51.9,-18.4,-35.3,8.3,803.9, Byrd
2010_6,-47.2,-17.4,-35.4,,797.7, Byrd
2010_7,-59.0,-19.5,-40.2,,790.2, Byrd
2010_8,-47.2,-16.2,-31.0,,796.6, Byrd
2010_9,-54.6,-11.0,-33.0,,802.5, Byrd
2010_10,-42.4,-16.5,-27.6,,799.8, Byrd
2010_11,-35.5,-12.9,-21.8,,801.2, Byrd
2010_12,-24.2,-2.8,-13.9,,817.9, Byrd
2011_1,-31.6,-5.2,-15.0,4.2,818.0, Byrd
2011_2,-36.2,-14.2,-21.8,6.3,809.6, Byrd
2011_3,-39.6,-10.9,-26.0,6.5,812.1, Byrd
2011_4,-54.5,-10.4,-30.4,6.7,810.5, Byrd
2011_5,-48.8,-14.8,-31.6,8.3,799.8, Byrd
2011_6,-57.1,-14.1,-33.9,8.1,808.1, Byrd
2011_7,-41.3,-6.8,-23.4,9.2,812.3, Byrd
2011_8,-49.1,-14.7,-29.2,8.9,807.9, Byrd
2011_9,-62.0,-19.0,-38.4,7.0,805.0, Byrd
2011_10,-38.8,-11.8,-26.2,9.7,804.1, Byrd
2011_11,-34.0,-11.3,-20.0,7.4,810.0, Byrd
2011_12,-22.9,-6.1,-14.8,5.6,805.8, Byrd
2012_1,-25.0,-9.2,-15.4,5.9,806.0, Byrd
2012_2,-33.0,-2.7,-19.0,6.5,811.0, Byrd
2012_3,-38.6,-8.6,-24.1,7.5,807.6, Byrd
2012_4,-42.5,-13.0,-29.8,8.4,804.1, Byrd
2012_5,-42.5,-15.3,-26.7,8.0,805.2, Byrd
2012_6,-54.1,-20.5,-37.3,3.9,805.3, Byrd
2012_7,-54.0,-20.5,-37.1,8.4,795.8, Byrd
2012_8,-53.7,-22.7,-36.3,8.4,800.4, Byrd
2012_9,-48.4,-19.1,-33.8,8.1,798.6, Byrd
2012_10,-43.7,-15.0,-27.0,7.6,802.8, Byrd
2012_11,-35.7,-6.8,-22.0,7.2,811.1, Byrd
2012_12,-21.4,-5.0,-11.8,4.0,816.9, Byrd
2013_1,-25.4,-3.7,-12.4,2.2,817.0, Byrd
2013_2,-31.5,-7.6,-19.8,3.4,805.7, Byrd
2013_3,-37.7,-9.1,-21.8,8.9,804.5, Byrd
2013_4,-51.2,-21.8,-36.6,8.2,798.0, Byrd
2013_5,-49.2,-19.7,-32.9,8.1,806.1, Byrd
2013_6,-55.4,-23.0,-40.1,4.5,807.7, Byrd
2013_7,-53.7,-21.0,-38.2,7.0,798.1, Byrd
2013_8,-59.2,-12.5,-33.6,7.4,805.6, Byrd
2013_9,-54.4,-16.1,-34.0,7.9,805.7, Byrd
2013_10,-42.4,-12.3,-28.4,7.5,804.0, Byrd
2013_11,-41.1,-15.2,-23.7,7.3,801.8, Byrd
2013_12,-23.8,-5.0,-13.3,6.0,812.5, Byrd
2014_1,-24.9,-7.5,-14.2,6.4,815.0, Byrd
2014_2,-36.9,-11.9,-21.5,6.3,808.6, Byrd
2014_3,-44.5,-16.6,-28.1,7.2,805.1, Byrd
2014_4,-48.3,-17.1,-31.4,9.1,797.1, Byrd
2014_5,-41.8,-15.9,-26.7,10.3,806.9, Byrd
2014_6,-48.9,-16.9,-33.0,9.8,799.1, Byrd
2014_7,-59.5,-20.6,-38.3,8.5,797.5, Byrd
2014_8,-53.0,-12.7,-29.4,9.8,801.2, Byrd
2014_9,-45.3,-10.9,-25.7,10.0,808.6, Byrd
2014_10,-44.5,-10.2,-25.2,8.3,798.3, Byrd
2014_11,-39.0,-16.0,-24.6,6.7,806.5, Byrd
2014_12,-29.2,-8.0,-17.9,5.3,807.7, Byrd
2015_1,-25.0,-6.4,-13.3,6.4,811.5, Byrd
2015_2,-32.3,-6.0,-17.4,7.1,806.4, Byrd
2015_3,-45.0,-11.8,-27.8,6.9,803.7, Byrd
2015_4,-51.7,-24.4,-36.9,7.8,798.3, Byrd
2015_5,-50.4,-14.2,-27.5,7.9,806.2, Byrd
2015_6,-52.1,-16.2,-36.2,9.0,801.6, Byrd
2015_7,-59.6,-14.9,-38.3,8.6,794.1, Byrd
2015_8,-60.4,-18.6,-42.5,8.6,795.2, Byrd
2015_9,-51.8,-13.7,-32.3,8.2,797.0, Byrd
2015_10,-44.2,-14.0,-25.9,8.9,801.7, Byrd
2015_11,-42.0,-13.9,-23.1,7.7,799.8, Byrd
2015_12,-26.9,-5.3,-15.5,,809.5, Byrd
2016_1,-23.3,-1.2,-12.2,7.5,811.6, Byrd
2016_2,-37.2,-11.4,-22.8,7.0,803.8, Byrd
2016_3,-48.7,-17.9,-30.7,8.1,799.1, Byrd
2016_4,-52.6,-13.0,-31.4,6.7,804.3, Byrd
2016_5,-45.3,-13.1,-29.7,8.6,802.2, Byrd
2016_6,-54.0,-13.8,-34.3,9.8,795.0, Byrd
2016_7,-55.6,-16.4,-31.7,8.0,803.8, Byrd
2016_8,-61.2,-13.3,-33.9,9.3,808.2, Byrd
2016_9,-53.3,-19.4,-37.4,10.3,787.4, Byrd
2016_10,-42.4,-12.7,-24.8,9.3,801.1, Byrd
2016_11,-32.6,-11.9,-21.0,6.1,811.2, Byrd
2016_12,-23.9,-5.5,-12.8,5.6,815.2, Byrd
